,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salz,Protein,Zucker,Kohlenhydrate,davon gesättigte Fettsäuren,Fett,Brennwert,Lieferant,Ursprungsregion,Zutaten/Inhaltsstoffe,Inhalt,Mögliche Lieferzeiten,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Lagerung,Eigenschaften,Kann Spuren enthalten von ,Ballaststoffe,mehrfach ungesättigte Fettsäuren,Einfach ungesättigte Fettsäuren,Beschreibung,Ursprungsland,Natrium,Abtropfgewicht,Frischegarantie (mindestens),Variables Gewicht,Produktgewicht,Bruttogewicht,*,Size,Delivery days,ProduktinformationenThe supplier has not provided us with detailed information about this product.Alle Produkte von Gille anzeigen,Alkoholgehalt,ProduktinformationenThe supplier has not provided us with detailed information about this product.Alle Produkte von Dovgan anzeigen,
20,Campo Verde demeter Bio Sesamöl kaltgepresst,"10,95€","Demeter Sesamöl, kaltgepr. , Campo Verde GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/49989-campo-verde-campo-verde-demeter-bio-sesamol-kaltge/,https://bilder.kolonial.no/local_products/0da040f4-e45c-4c6c-8d70-f11a513b08c9.jpg?auto=format&fit=max&w=215&s=471327f7aa259888e3421a201b7d3a10,0 g,0 g,0 g,0 g,15.90 g,99 g,3701.10 kJ / 884 kcal,"Campo Verde GmbH, Daisendorferstr. 6, 88690 Uhldingen-Mühlhofen, Deutschland",Deutschland,"SESAMöl, kaltgepresst**.

** aus biologisch-dynamischer Landwirtschaft (demeter) ",250 Milliliter,täglich,Internationale Vielfalt,Asiatisch,oda,,Bio-Produkt,"Sojabohnen, Nüssen.",0 g,,,,,,,,,,,,,,,,,
21,BIO COMPANY Bio Kokosmilch,"1,99€","Traditionelle Herstellung, aus gepresstem Fruchtfleisch von Kokosnüssen aus Sri-Lanka, aromatisch-milde Note, verfeinert Suppen, Desserts und auch Cocktails. , BIO COMPANY SE hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/52646-bio-company-bio-company-bio-kokosmilch/,https://bilder.kolonial.no/local_products/79596c45-5fe9-4d44-8c1f-4859b39a09cd.jpg?auto=format&fit=max&w=450&s=d33027a465a638fd12e9bd96f4d3f7cc,0.03 g,1.20 g,1.50 g,3.60 g,,17 g,720 kJ / 172 kcal,"BIO COMPANY SE, Rheinstraße 45-46, 12161, Berlin, Deutschland",,"Kokosnuss*, Wasser",400 Milliliter,täglich,Internationale Vielfalt,Asiatisch,oda,,Bio-Produkt,,1.40 g,,,,,,,,,,,,,,,,,
22,BIO COMPANY Bio Kokosmilch,"1,49€","Traditionelle Herstellung, aus gepresstem Fruchtfleisch von Kokosnüssen aus Sri-Lanka, aromatisch-milde Note, verfeinert Suppen, Desserts und auch Cocktails. , BIO COMPANY SE hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/52647-bio-company-bio-company-bio-kokosmilch/,https://bilder.kolonial.no/local_products/a07d28e6-7afd-46d6-b650-8600a3cf1c2e.png?auto=format&fit=max&w=450&s=c6be0ed4a25ce5beb7d8ccf2aaf0ddb6,0.03 g,1.20 g,1.50 g,3.60 g,,17 g,720 kJ / 172 kcal,"BIO COMPANY SE, Rheinstraße 45-46, 12161, Berlin, Deutschland",,"Kokosnuss*, Wasser",200 Milliliter,täglich,Internationale Vielfalt,Asiatisch,oda,,Bio-Produkt,,1.40 g,,,,,,,,,,,,,,,,,
23,Tai Shan Kokosnuss-Milch 17-19% Fettgehalt,"1,49€","Kokosnuss-Milch , Dunekacke & Wilms Nachf. G.m.b.H. & Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58983-tai-shan-tai-shan-kokosnuss-milch-17-19-fettgehalt/,https://bilder.kolonial.no/local_products/fed842ce-bfd0-458b-aaae-455cb334327e.jpg?auto=format&fit=max&w=661&s=f5667f26a2fd93683181a2102637b47a,0.07 g,1 g,2 g,2 g,16 g,18 g,717 kJ / 174 kcal,"Dunekacke & Wilms Nachf. G.m.b.H. & Co. KG, Hinschenfelder Stieg 12c, 22041 Hamburg",Deutschland,"Extrakt aus Kokosnüssen 84%, Wasser,Verdickungsmittel: E466, E412,E415 Emulgator: E435",400 Milliliter,täglich,Internationale Vielfalt,Asiatisch,oda,,,,0 g,,,,,,,,,,,,,,,,,
24,BONASIA Mango Chutney süß,"2,39€","Mango Chutney, süß , Kreyenhop + Kluge GmbH u. Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58960-bonasia-bonasia-mango-chutney-suss/,https://bilder.kolonial.no/local_products/d8364258-a510-4463-9dab-cecfaa1d2089.jpg?auto=format&fit=max&w=555&s=d6c9182ffcaca96ed8895dc2fe5e19e9,1.90 g,0.50 g,48 g,53 g,0.10 g,0.50 g,906 kJ / 213 kcal,"Kreyenhop + Kluge GmbH u. Co. KG, Industriestraße 40-42, 28876 Oyten, Deutschland",Indien,"Zucker, geschälte Mango-Scheiben (46%), Zuckerrohressig, Salz, Chilipulver, Ingwerpulver, Knoblauchpulver. Kann Spuren von NÜSSE, SESAMSAMEN und SENF enthalten. ",340 Gramm,täglich,Internationale Vielfalt,Asiatisch,oda,,,"Nüssen, Senf, Sesamsamen.",,,,,,,,,,,,,,,,,,
25,Lorenz Wasabi Erdnüsse,"3,49€","Genieße unser Lorenz Nuss-Sortiment von höchster Qualität. Unsere Experten wählen für Dich die beste Rohwaren aus der ganzen Welt aus. Schonend geröstet, köstlich gewürzt und aromaschützend verpackt sind unsere Produkte immer ein besonderer Genuss.

Unter Schutzatmosphäre verpackt. WARNUNG: KLEINE KINDER KÖNNEN AN NÜSSEN ERSTICKEN. , Lorenz Snack-World Holding GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/55262-lorenz-lorenz-wasabi-erdnusse/,https://bilder.kolonial.no/local_products/3a9b838e-5f27-4d5b-89f9-a7f493204355.jpg?auto=format&fit=max&w=1000&s=b69e5873cc3b7813569a0ce828ae7982,2.10 g,17 g,8.40 g,39 g,6.90 g,33 g,2149 kJ / 516 kcal,Lorenz Snack-World Holding GmbH,Deutschland,"ERDNUSSKERNE (46%), Stärke, pflanzliche Öle (Sonnenblume, Raps, Kokosnuss), Reismehl, Zucker, Speisesalz, getrockneter Glucosesirup, modifizierte Stärke, Dextrose, Aroma, Hefeextrakt, Säureregulator: Calciumphosphat, Citronensäure; Zwiebelpulver, WEIZENMEHL, Hefe Farbstoff: kupferhaltige Komplexe der Chlorophylline; färbendes Lebensmittel: Spirulina Konzentrat; Gewürzextrakte, Wasabipulver. Kann SCHALENFRÜCHTEN enthalten. ",100 Gramm,täglich,Internationale Vielfalt,Asiatisch,oda,,,Nüssen.,5.50 g,,,,,,,,,,,,,,,,,
26,Fackelmann Essstäbchen 23 cm aus Edelstahl,"9,99€",Essstäbchen 23cm INOX SBBtl,https://oda.com//de/products/58664-fackelmann-fackelmann-essstabchen-23-cm-aus-edelst/,https://bilder.kolonial.no/local_products/ba820b21-fb82-4fb2-976b-a2f8e2b32c9c.jpg?auto=format&fit=max&w=1000&s=e3984a8cdcd9dc3030cb52a1590c4232,,,,,,,,"Fackelmann, Sebastian-Fackelmann-Straße 6, 91217 Hersbruck",China,,5 Packungen,täglich,Internationale Vielfalt,Asiatisch,oda,,,,,,,5 x 2 Stück,,,,,,,,,,,,,,
27,Want Want Got Rice! Original,"1,99€","GOT RICE Original Reiscracker, Crisby Bite mit einem leichten Geschmack von Chilli. Leicht & Crunchy!

GOT RICE! – Original
Crisby Bite mit einem leichten Geschmack von Chilli 
100% Rice Crackers
Leicht & Crunchy!
Ich bin die echte Alternative zu herkömmlichen salzigen Snacks wie Kartoffelchips.
Ich bringe dir den Crisby Bite in den Mund und den Geschmack von leichter Chilli auf die Zunge. 

Reiscracker mit pikant-würzigem Chilli Geschmack , Want Want Europe GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/60518-want-want-want-want-got-rice-original/,https://bilder.kolonial.no/local_products/7bdc5cc1-067b-465d-8773-bd9722c23eba.jpg?auto=format&fit=max&w=756&s=f67e29cf962cb3ac30a590670ed4974b,1.10 g,4.60 g,11 g,63 g,15 g,30 g,2249 kJ / 538 kcal,"Want Want Europe GmbH, Bolkerstraße 69, 40213 Düsseldorf",,"Reis 48%, Palmöl [enthält Antioxidationsmittel (Tocopherol-Reich-Extrakt, Extrakte aus Rosmarin, Sojabohnenöl, Rapsöl)], Zucker, Sojasauce (Sojabohnen, Weizen, Salz), Kartoffelstärke, Chilipulver, Hefepulver, ), (E160c) - Paprikaextrakt (Capsanthin, Capsorubin)",85 Gramm,täglich,Internationale Vielfalt,Asiatisch,oda,,,"Sojabohnen, Sesamsamen.",0.90 g,,,,Taiwan,,,,,,,,,,,,,
28,Want Want Got Rice! Wasabi,"1,99€","Got Rice! Wasabi , Want Want Europe GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/60519-want-want-want-want-got-rice-wasabi/,https://bilder.kolonial.no/local_products/db82e09a-f88e-45f2-a055-e4b68711e132.jpg?auto=format&fit=max&w=756&s=97fafc57ba8a889825443c3e546bfc12,1.50 g,4.10 g,9 g,59 g,17 g,33 g,2303 kJ / 551 kcal,"Want Want Europe GmbH, Bolkerstraße 69, 40213 Düsseldorf",,"Reis 45%, Palmöl [Enthält Antioxidationsmittel (Tocopherol-Reich-Extrakt, Extrakte aus Rosmarin, Sojaöl, Rapsöl)], Zucker, Sojasauce (Sojabohnen, Weizen, Salz), Maltodextrin, Senfaroma 0,98% (Maltodextrin, Verdickungsmittel (Stärke-Natriumoctenylsuccinat E1450,) Gummi Arabicum E414), Aroma, Emulgator (Mono- und Diglyceride von Speisefettsäuren E471)), Sojasoßenpulver (Sojabohnen, Weizen, Maltodextrin, Salz), Salz, Glucose, Kartoffelstärke, Geschmacksverstärker (Mononatriumglutamat E621, Dinatrium-5′-Inosinat E631, Dinatrium-5′-Guanylat E627), Hefepulver, Farbstoff (Tartrazin E102, Brillantblau FCF E133); (MODIFIED_STARCH) - Modifizierte Stärken; (E1450) - Stärkenatriumoctenylsuccinat ",85 Gramm,täglich,Internationale Vielfalt,Asiatisch,oda,,,"Schalentiere, Sojabohnen, Milch, Sesamsamen.",0.90 g,,,"Ich bin der richtige asiatische Snack für alle, die es einfach mal krachen lassen wollen. Ich bin grün, scharf und komme mit einem WOW wie Wasabi daher. Egal ob für unterwegs oder als schneller Snack für abends … YES! Ich kann dir schon mal die Tränen in die Augen treiben.",,,,,,,,,,,,,,
29,Want Want Legume Crisps Classic Salted,"2,09€","Crunchy Legume Crisps  -  „Erbsen Crispy“ The Next Generation of Snacking. Leckere gebackene Erbsen mit der Note des Meers

Legume Crisps – Classic Salted
Crunchy Legume Crisps Classic Salted –Die Basis meiner Herstellung liefert die Erbse, die reich an Proteinen und Ballaststoffen ist. 
Ich habe viel weniger Kalorien als meine Kollegen aus dem Chipsregal. 
Meinen unverwechselbar natürlich-salzigen Geschmack erhalte ich durch natürliches Salz.
""Ohne künstliche Geschmacksverstärker""
""Reich an pflanzlichen Protein""
""Fettarm - 70% weniger Fett (im Vergleich zu Kartoffelchips)""
""Reich an sättigenden Ballaststoffen""
""Hochwertige Kohlenhydrate aus der grünen Erbse""
Die vitaminreiche, grüne Erbse besitzt den höchsten Eiweißgehalt unter den Hülsenfrüchten

Natürlich-salziger Geschmack 

Crunchy Legume Crisps - Classic Salted , Want Want Europe GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/60521-want-want-want-want-legume-crisps-classic-salted/,https://bilder.kolonial.no/local_products/46a6af3f-5877-42ca-816f-db9794dbdc14.jpg?auto=format&fit=max&w=1000&s=274fc080e118c0777413ceddb5264588,2 g,19 g,2.50 g,50 g,1.80 g,18 g,1890 kJ / 450 kcal,"Want Want Europe GmbH, Bolkerstraße 69, 40213 Düsseldorf",,"Erbsenpulver 76%, Salz 2%, Sonnenblumenöl, Maltodextrin, Treibmittel (Kalziumkarbonat E170, Natriumbikarbonat E500), Geschmacksverstärker (Mononatriumglutamat E621)
(E170) - Calciumcarbonat
(E500(iii)) - Natriumsesquicarbonat
(E621) - Mononatriumglutamat
(RAISING_AGENT) - Backtriebmittel
(FLAVOUR_ENHANCER) - Geschmacksverstärker ",85 Gramm,täglich,Internationale Vielfalt,Asiatisch,oda,,,"Eier, Erdnüsse, Sojabohnen, Milch, Senf.",6 g,,,,China,,,,,,,,,,,,,
30,Want Want Legume Crisps Wasabi,"2,09€","Crunchy Legume Crisps  -  „Erbsen Crispy“ The Next Generation of Snacking. Leicht und cross, aber mit der super spicy Note von Wasabi

Legume Crisps – Wasabi Flavour
Crunchy Legume Crisps Wasabi Flavour – Die Basis meiner Herstellung liefert die Erbse, die reich an Proteinen und Ballaststoffen ist. 
Ich habe viel weniger Kalorien als meine Kollegen aus dem Chipsregal. 
Leicht und cross, aber mit der super spicy Note von Wasabi werde ich schnell zum Genusshighlight
""Ohne künstliche Geschmacksverstärker""
""Reich an pflanzlichen Protein""
""Fettarm - 70% weniger Fett (im Vergleich zu Kartoffelchips)""
""Reich an sättigenden Ballaststoffen""
""Hochwertige Kohlenhydrate aus der grünen Erbse""
Die vitaminreiche, grüne Erbse besitzt den höchsten Eiweißgehalt unter den Hülsenfrüchten

Leicht und cross, spicy Note von Wasabi , Want Want Europe GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/60522-want-want-want-want-legume-crisps-wasabi/,https://bilder.kolonial.no/local_products/9847e9ec-01e6-44b6-9fb5-2bfe6e6491ef.jpg?auto=format&fit=max&w=1000&s=5a0d39e7c7adf8120899176f665e0df9,2.60 g,19 g,8.30 g,51 g,1.20 g,16 g,1831 kJ / 436 kcal,"Want Want Europe GmbH, Bolkerstraße 69, 40213 Düsseldorf",,"Erbsenpulver 73 %, Sonnenblumenöl, Pulver mit Wasabi-Geschmack 4,6 % [Glukose, Maltodextrin, hydrolysiertes Sojaprotein, Salz, Zucker, Senfpulver (Maltodextrin, Senfpulver, Antioxidans (Alpha-Tocopherol E307), Antiklumpmittel (Siliciumdioxid E551), Aroma (Enthält: Gelbsenf-Oleoresin, Soja-Salatöl)] )Salz, Zucker, Treibmittel (Kalziumkarbonat E170, Natriumbikarbonat E500), Geschmacksverstärker (Mononatriumglutamat E261)",85 Gramm,täglich,Internationale Vielfalt,Asiatisch,oda,,,"Eier, Erdnüsse, Sojabohnen, Milch, Senf.",6 g,,,,China,,,,,,,,,,,,,
31,Fuego Tortillas Mexican Style,"2,79€","FUEGO Tortillas Mexican Style 320g , Theodor Kattus GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/46897-fuego-fuego-tortillas-mexican-style/,https://bilder.kolonial.no/local_products/ae23fcbf-8b99-484f-ab35-6f35be7d51fb.jpg?auto=format&fit=max&w=929&s=46b484ea16ae44f7fc638ac7b2cb89bf,1.30 g,8.20 g,2.50 g,51.20 g,1.40 g,8 g,1330 kJ / 316 kcal,"Theodor Kattus GmbH, Dieter-Fuchs-Straße 10, 49201 Dissen am Teutoburger Wald, Deutschland",,"WEIZENMEHL (34 %), Maismehl (24 %), Wasser, Stabilisatoren: E422, E466, E412; Rapsöl, Backtriebmittel: E500, E450; WEIZENGLUTEN, Speisesalz, Emulgator: E471; Säuerungsmittel: E296; Dextrose, Konservierungsstoffe: E282, E202; Mehlbehandlungsmittel: E920. Kann Spuren von Soja enthalten ",320 Gramm,täglich,Internationale Vielfalt,Mexiko & Südamerika,oda,,,,3 g,,,,,0.50 g,,,,,,,,,,,,
32,Fuego Tortillas Classic 25cm,"3,29€","FUEGO Tortillas Classic, 25cm , Theodor Kattus GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/43291-fuego-fuego-tortillas-classic-25cm/,https://bilder.kolonial.no/local_products/3ea1fb10-1c4a-4dc2-aeda-6ef6d60775fa.jpg?auto=format&fit=max&w=929&s=c7392a1c3687c831b0f30416567ce46b,1.30 g,9.30 g,1.30 g,54.20 g,3.30 g,8 g,1400 kJ / 332 kcal,"Theodor Kattus GmbH, Dieter-Fuchs-Straße 10, 49201 Dissen am Teutoburger Wald, Deutschland",,"WEIZENMEHL(66%), Wasser, Palmöl, Stabilisatoren: E422, E466, E412; Backtriebmittel: E500, E450; Speisesalz, Säuerungsmittel: E296; Emulgator: E471; Dextrose, Konservierungsstoffe: E282, E202; Mehlbehandlungsmittel: E920. ",380 Gramm,täglich,Internationale Vielfalt,Mexiko & Südamerika,oda,,,,3 g,,,,,0.50 g,,,,,,,,,,,,
33,Fuego 12 Taco Shells,"3,59€","FUEGO 12 Taco Shells 135g , Theodor Kattus GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/45372-fuego-fuego-12-taco-shells/,https://bilder.kolonial.no/local_products/7ee0ee0e-2a0b-4d25-a10f-fd7575969966.jpg?auto=format&fit=max&w=1000&s=2a71937764b9bb8780a0b337c874e658,0.90 g,6.50 g,0.80 g,61.20 g,2 g,20 g,1930 kJ / 461 kcal,"Theodor Kattus GmbH, Dieter-Fuchs-Straße 10, 49201 Dissen am Teutoburger Wald, Deutschland",,"Maismehl(EU), Sonnenblumenöl, Speisesalz. Kann Spuren von Soja enthalten",135 Gramm,täglich,Internationale Vielfalt,Mexiko & Südamerika,oda,,,,5 g,,,,,0.36 g,,,,,,,,,,,,
34,Fuego Tortilla Seasoning Mix,"1,65€","Fuego Tortilla Seasoning Mix 30g , Theodor Kattus GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/46165-fuego-fuego-tortilla-seasoning-mix/,https://bilder.kolonial.no/local_products/dfe06e1a-84ee-4b69-9af5-f7b36fce87a7.jpg?auto=format&fit=max&w=657&s=376d55558e7573dc814cc847babe8b29,12.10 g,10.10 g,35.30 g,50.90 g,0.80 g,4.20 g,1307 kJ / 310 kcal,"Theodor Kattus GmbH, Dieter-Fuchs-Straße 10, 49201 Dissen am Teutoburger Wald, Deutschland",,"Tortilla Gewürz (Zwiebel, Paprika, Knoblauch, Tomate, Chili, Kreuzkümmel, Oregano, Petersilie, Pfeffer) Speisesalz, Zucker. Kann Spuren von Weizen, Ei, Soja, Milch, Sellerie, Senf und Sesam enthalten",30 Gramm,täglich,Internationale Vielfalt,Mexiko & Südamerika,oda,,,,14.20 g,,,,,4.85 g,,,,,,,,,,,,
35,Fuego Jalapeno Sauce Hot,"1,99€","FUEGO Jalapeno Sauce HOT 100ml , Theodor Kattus GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/50040-fuego-fuego-jalapeno-sauce-hot/,https://bilder.kolonial.no/local_products/d1f51ae1-89bd-4d8a-9800-9cf2e12e2b9f.jpg?auto=format&fit=max&w=248&s=409e2dbffe8dc7e0cc16b7c3d66d3024,5.60 g,0.80 g,2.80 g,3 g,0.10 g,0.30 g,165 kJ / 39 kcal,"Theodor Kattus GmbH, Dieter-Fuchs-Straße 10, 49201 Dissen am Teutoburger Wald, Deutschland",,"Weinessig, Jalapeno (23 %), Speisesalz, Branntweinessig, Chili, Verdickungsmittel Xanthan. Kann Spuren von Weizen, Ei, Soja, Milch, Sellerie, Senf und Sesam enthalten",100 Milliliter,täglich,Internationale Vielfalt,Mexiko & Südamerika,oda,,,,0.10 g,,,,,2.24 g,,,,,,,,,,,,
36,Fuego Taco Sauce mild,"1,99€","FUEGO Taco Sauce mild 200ml , Theodor Kattus GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/44314-fuego-fuego-taco-sauce-mild/,https://bilder.kolonial.no/local_products/f8a5c9b5-9db8-4cc5-980a-739f3bb4cd85.jpg?auto=format&fit=max&w=548&s=7720e296b1457a3947f98ecc7ed162c4,1.90 g,1.30 g,7.70 g,9.70 g,0.10 g,0.30 g,211 kJ / 50 kcal,"Theodor Kattus GmbH, Dieter-Fuchs-Straße 10, 49201 Dissen am Teutoburger Wald, Deutschland",,"Tomaten (24 %), Wasser, Tomatensaft (15 %), Tomatenmark (12 %), Zucker, Zwiebeln, Paprika, Knoblauch, Kreuzkümmel, Koriander, Jalapeño, Speisesalz, modifizierte Stärke, Branntweinessig, Gewürzextrakt, Säuerungsmittel Citronensäure. Kann Spuren von Weizen, Ei, Soja, Milch, Sellerie, Senf und Sesam enthalten",200 Milliliter,täglich,Internationale Vielfalt,Mexiko & Südamerika,oda,,,,1.40 g,,,,,0.74 g,,,,,,,,,,,,
37,Fuego red Jalapeno sliced,"3,29€","FUEGO Jalapenos Pepper sliced Rot 225g , Theodor Kattus GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/50045-fuego-fuego-red-jalapeno-sliced/,https://bilder.kolonial.no/local_products/083cc731-f015-4f5a-b386-af4234b6a3ba.jpg?auto=format&fit=max&w=690&s=b46bcfd92eff8d43e49ef6f9e88b7abd,0.50 g,0.10 g,0 g,2.90 g,0 g,0.10 g,63 kJ / 15 kcal,"Theodor Kattus GmbH, Dieter-Fuchs-Straße 10, 49201 Dissen am Teutoburger Wald, Deutschland",Deutschland,"Jalapeno-Pfefferschoten, Wasser, Salz, Festigungsmittel: Calciumchlorid, Säuerungsmittel: Citronensäure.",210 Gramm,täglich,Internationale Vielfalt,Mexiko & Südamerika,oda,,,,1 g,,,,,0.20 g,125 Gramm,,,,,,,,,,,
38,Fuego Tortilla Chips Chili,"1,79€","FUEGO Tortilla Chips Chili 150g , Theodor Kattus GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/50042-fuego-fuego-tortilla-chips-chili/,https://bilder.kolonial.no/local_products/ab760d88-9778-4c8b-8825-9a5ae3fe6b6d.jpg?auto=format&fit=max&w=682&s=e977033bbb445c13d015c0ce5fac05a0,1.05 g,5.90 g,2 g,56 g,1.90 g,24.30 g,1996 kJ / 477 kcal,"Theodor Kattus GmbH, Dieter-Fuchs-Straße 10, 49201 Dissen am Teutoburger Wald, Deutschland",,"Maismehl, Sonnenblumenöl, Chili-Würzmischung (Speisesalz, Maltodextrin, Zucker, Geschmacksverstärker Mononatriumglutamat, Tomatenpulver, Zwiebelpulver, Gewürze (u.a.Chili), Dextrose, Hefeextrakt, Aroma, Sonnenblumenöl, Farbstoff Paprikaextrakt, Gewürzextrakte). Kann Spuren von Milch, Gluten und Soja enthalten",150 Gramm,täglich,Internationale Vielfalt,Mexiko & Südamerika,oda,,,,7.20 g,,,,,0.42 g,,,,,,,,,,,,
39,Fuego Tortilla Chips Paprika,"1,79€","FUEGO Tortilla Chips Sweet Paprika 150g , Theodor Kattus GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/50043-fuego-fuego-tortilla-chips-paprika/,https://bilder.kolonial.no/local_products/9db2b03d-8ddf-41ae-9a66-6fb487fd3d1f.jpg?auto=format&fit=max&w=682&s=55dfccf18e58c55cf9d163374f8535f3,1.30 g,5.60 g,3 g,54 g,2 g,24.30 g,1957 kJ / 468 kcal,"Theodor Kattus GmbH, Dieter-Fuchs-Straße 10, 49201 Dissen am Teutoburger Wald, Deutschland",,"Maismehl, Sonnenblumenöl, Sweet Chili Aromazubereitung (Aroma, Zucker, Salz, Maltodextrin, Farbstoff Paprikaextrakt, Weinessig, geräuchertes Paprikapulver (Paprika, Rauch), Antioxidationsmittel Rosmarinextrakt, Süßungsmittel Sucralose). Kann Spuren von Milch, Gluten und Soja enthalten",150 Gramm,täglich,Internationale Vielfalt,Mexiko & Südamerika,oda,,,,0 g,,,,,0.53 g,,,,,,,,,,,,
40,Fuego Tortilla Chips Salted,"1,79€","FUEGO Tortilla Chips Salted 150g , Theodor Kattus GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/50044-fuego-fuego-tortilla-chips-salted/,https://bilder.kolonial.no/local_products/84cb4064-b8b1-4201-9fe3-a6eb3ac589eb.jpg?auto=format&fit=max&w=682&s=ee81c4dfa826ec0ba5abcd6986dc3305,0.87 g,5.70 g,1 g,56 g,1.90 g,24.20 g,1987 kJ / 475 kcal,"Theodor Kattus GmbH, Dieter-Fuchs-Straße 10, 49201 Dissen am Teutoburger Wald, Deutschland",,"Maismehl, Sonnenblumenöl, Speisesalz. Kann Spuren von Milch, Gluten und Soja enthalten",150 Gramm,täglich,Internationale Vielfalt,Mexiko & Südamerika,oda,,,,0 g,,,,,0.35 g,,,,,,,,,,,,
41,bioz Tortilla Chips Meersalz,"1,99€","bioz-Tortilla Chips Meersalz 125g , Bio-Zentrale GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/50262-biozentrale-bioz-tortilla-chips-meersalz/,https://bilder.kolonial.no/local_products/21959ff1-a573-4797-824e-dfa2d68bd384.png?auto=format&fit=max&w=672&s=9d5bae248934808765bc40c79e341527,1.20 g,6.70 g,1.50 g,63 g,2.20 g,22 g,2009 kJ / 480 kcal,"Bio-Zentrale GmbH, Holzmühlenweg 4, 84384 Wittibreut, Ulbering, Deutschland",Belgien,"77 % Maismehl*, Sonnenblumenöl*, 1 % Meersalz. 
*aus kontrolliert-ökologischer Landwirtschaft",125 Gramm,täglich,Internationale Vielfalt,Mexiko & Südamerika,oda,,Bio-Produkt,,,,,,,,,,,,,,,,,,,
42,bioz Tortilla Chips Paprika,"1,99€","bioz-Tortilla Chips Paprika 125g , Bio-Zentrale GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/50263-biozentrale-bioz-tortilla-chips-paprika/,https://bilder.kolonial.no/local_products/e9e3cf35-c6af-45e1-aee7-fb7faafad4ef.png?auto=format&fit=max&w=672&s=26bb3a413a58d35c28926e15c22b7044,1.30 g,6.70 g,1.50 g,63 g,2.20 g,22 g,2009 kJ / 480 kcal,"Bio-Zentrale GmbH, Holzmühlenweg 4, 84384 Wittibreut, Ulbering, Deutschland",Belgien,"73,5 % Maismehl*, Sonnenblumenöl*, Meersalz, Glukosesirup*, 0,9 % Paprika*, Zucker*, Zwiebeln*, Tomaten*, schwarzer Pfeffer*, Knoblauch*, Paprikaextrakt*, Liebstöckel*.

*aus kontrolliert-ökologischer Landwirtschaft",125 Gramm,täglich,Internationale Vielfalt,Mexiko & Südamerika,oda,,Bio-Produkt,,,,,,,,,,,,,,,,,,,
43,bioz Tortilla Röllchen,"2,49€","bioz-Tortilla Roellchen 125g , Bio-Zentrale GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/50265-biozentrale-bioz-tortilla-rollchen/,https://bilder.kolonial.no/local_products/70936c71-6172-40fe-84e6-c02ef212502d.png?auto=format&fit=max&w=800&s=8cd3701388b9e4f90677425e18a8271f,1.60 g,6 g,2 g,59 g,2.60 g,26 g,2099 kJ / 502 kcal,"Bio-Zentrale GmbH, Holzmühlenweg 4, 84384 Wittibreut, Ulbering, Deutschland",Belgien,"69 % Maismehl*, Sonnenblumenöl*, 1,8 % Tomaten*, Meersalz, Zucker*, Hefeextrakt, Paprika*, schwarzer Pfeffer*, Knoblauch*, Chili*, Tomatenmark*, Paprikaextrakt*. 
*aus kontrolliert ökologischer Landwirtschaft",125 Gramm,täglich,Internationale Vielfalt,Mexiko & Südamerika,oda,,Bio-Produkt,,,,,,,,,,,,,,,,,,,
