,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salz,Protein,Zucker,Kohlenhydrate,davon gesättigte Fettsäuren,Fett,Brennwert,Lieferant,Ursprungsregion,Zutaten/Inhaltsstoffe,Inhalt,Mögliche Lieferzeiten,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Lagerung,Eigenschaften,Kann Spuren enthalten von ,Ballaststoffe,mehrfach ungesättigte Fettsäuren,Einfach ungesättigte Fettsäuren,Beschreibung,Ursprungsland,Natrium,Abtropfgewicht,Frischegarantie (mindestens),Variables Gewicht,Produktgewicht,Bruttogewicht,*,Size,Delivery days,ProduktinformationenThe supplier has not provided us with detailed information about this product.Alle Produkte von Gille anzeigen,Alkoholgehalt,ProduktinformationenThe supplier has not provided us with detailed information about this product.Alle Produkte von Dovgan anzeigen,
10,BONASIA Currypaste rot,"1,95€","Currypaste, rot , Kreyenhop + Kluge GmbH u. Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/50740-bonasia-bonasia-currypaste-rot/,https://bilder.kolonial.no/local_products/ca9b0c62-62b7-4f81-88e3-2c2b4ddcf692.jpg?auto=format&fit=max&w=533&s=d5517f803d84f0b1efbae1ac67a906c2,12.10 g,4.20 g,10 g,20 g,0.40 g,1.70 g,559 kJ / 133 kcal,"Kreyenhop + Kluge GmbH u. Co. KG, Industriestraße 40-42, 28876 Oyten, Deutschland",Thailand,"getrocknete rote Chili (30%), Zitronengras, Knoblauch, Schalotten, Salz, Kaffirlimetten, Gewürze (Koriander, Kreuzkümmel), Galgant, Säuerungsmittel: Citronensäure (E330). Kann Spuren von NÜSSE, ERDNÜSSE und SESAMSAMEN enthalten. ",114 Gramm,täglich,Internationale Vielfalt,Asiatisch,oda,,,"Erdnüsse, Nüssen, Sesamsamen.",,,,,,,,,,,,,,,,,,
11,BONASIA Glasnudeln lang,"0,85€","Glasnudeln, lang Lungkou Vermicelli , Kreyenhop + Kluge GmbH u. Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/50717-bonasia-bonasia-glasnudeln-lang/,https://bilder.kolonial.no/local_products/4ad9b7d2-e103-4c4f-bb2f-f1b0bcf8a3c1.jpg?auto=format&fit=max&w=427&s=f576a36ed157134648da4bb3e79cef67,0.14 g,0.50 g,0.50 g,86 g,0.10 g,0.50 g,1470 kJ / 346 kcal,"Kreyenhop + Kluge GmbH u. Co. KG, Industriestraße 40-42, 28876 Oyten, Deutschland",China,"Erbsenstärke, Maisstärke, Wasser, Mungobohnenstärke.",100 Gramm,täglich,Internationale Vielfalt,Asiatisch,oda,,,,,,,,,,,,,,,,,,,,,
12,JHFoods Seetang geröstete Qualität silber,"3,29€","Getrockneter, gerösteter Seetang. , Heuschen Schrouff Oriental Foods hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/50735-jhfoods-jhfoods-seetang-gerostete-qualitat-silber/,https://bilder.kolonial.no/local_products/52630c9f-210a-4aa8-81c8-adececa5e07c.jpg?auto=format&fit=max&w=1000&s=def1348eec606eefe81d4a2b60186dde,1.60 g,40.50 g,0 g,0 g,0.40 g,0.40 g,1180 kJ / 282 kcal,"Heuschen Schrouff Oriental Foods, P.O. Box 30202, 6370 KE, Landgraaf, Niederlande",China,Seetang.,25 Gramm,täglich,Internationale Vielfalt,Asiatisch,oda,,,,,,,,,,,,,,,,,,,,,
13,Kikkoman BIO Soja-Sauce,"2,99€","Kikkoman Bio Sojasauce 150 ml Glasflasche , Kikkoman Trading Europe GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/45026-kikkoman-kikkoman-bio-soja-sauce/,https://bilder.kolonial.no/local_products/6617fced-53e3-4e97-9cf4-49f4c0bbc70e.jpg?auto=format&fit=max&w=292&s=82fd6d6b011eeda86eed70ae639db23e,16.60 g,11 g,1.90 g,6.10 g,0 g,0 g,377 kJ / 89 kcal,"Kikkoman Trading Europe GmbH, Theodorstraße 180, 40472 Düsseldorf, Deutschland",Niederlande,"Wasser, BIO-SOJABOHNEN, BIO-WEIZEN, Speisesalz. ",150 Milliliter,täglich,Internationale Vielfalt,Asiatisch,oda,,Bio-Produkt,,,,,,,,,,,,,,,,,,,
14,Kikkoman Soja Sauce,"2,39€","Kikkoman Soja Sauce 150 ml Glasflasche , Kikkoman Trading Europe GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/47315-kikkoman-kikkoman-soja-sauce/,https://bilder.kolonial.no/local_products/a1331045-37e9-42b1-acd4-fc168d843b51.jpg?auto=format&fit=max&w=292&s=8cce65c4f787857a876d75110ff53254,16.90 g,10 g,0.60 g,3.20 g,0 g,0 g,325 kJ / 77 kcal,"Kikkoman Trading Europe GmbH, Theodorstraße 180, 40472 Düsseldorf, Deutschland",Niederlande,"Wasser, SOJABOHNEN, WEIZEN, Speisesalz. ",150 Milliliter,täglich,Internationale Vielfalt,Asiatisch,oda,,,,,,,,,,,,,,,,,,,,,
15,Kikkoman Teriyaki Sauce mit Knoblauch,"3,99€","Kikkoman Teriyaki Sauce mit geröstetem Knoblauch 250 ml Glasflasche , Kikkoman Trading Europe GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/47659-kikkoman-kikkoman-teriyaki-sauce-mit-knoblauch/,https://bilder.kolonial.no/local_products/9d616792-6b8d-49b1-89cb-2369796d3149.jpg?auto=format&fit=max&w=362&s=2ff35b550dbff741bf7d818cb792c09d,7.30 g,5.20 g,23 g,28 g,0 g,0.50 g,635 kJ / 150 kcal,"Kikkoman Trading Europe GmbH, Theodorstraße 180, 40472 Düsseldorf, Deutschland",Niederlande,"Sojasauce (Wasser, SOJABOHNE, WEIZEN, Speisesalz), Wasser, Zucker, Wein (enthält SULFITE), geröstetes Knoblauchpulver (3,8%) (Knoblauch, Sonnenblumenöl), Branntweinessig, modifizierte Maisstärke, Knoblauchstücke (1,4%), Speisealz. ",250 Milliliter,täglich,Internationale Vielfalt,Asiatisch,oda,,,,,,,,,,,,,,,,,,,,,
16,BIO COMPANY Bio Tamari Premium,"4,09€","Kräftig-aromatische, vielseitige Grundwürze - ideal auch für Marinaden, da Tamari seinen Geschmack auch bei kräftigem Anbraten und längeren Kochzeiten nicht verliert. , BIO COMPANY SE hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/57016-bio-company-bio-company-bio-tamari-premium/,https://bilder.kolonial.no/local_products/6e10f28b-ba08-4436-8094-4a41c7945027.jpg?auto=format&fit=max&w=1000&s=c3914b9f91474aba676a24b0c39c8f04,14.50 g,9.80 g,3.40 g,8.30 g,,0.50 g,315 kJ / 74 kcal,"BIO COMPANY SE, Rheinstraße 45-46, 12161, Berlin, Deutschland",,"Wasser, SOJAbohnen*, Meersalz, gesalzener japanischer Reisbranntwein Shochu* (Wasser, Reis*, Salz, Koji-Ferment
[Aspergillus oryzae]), Koji-Ferment (Aspergillus oryzae) ",250 Milliliter,täglich,Internationale Vielfalt,Asiatisch,oda,,Bio-Produkt,,0.50 g,,,,,,,,,,,,,,,,,
17,BIO COMPANY Bio Shoyu Premium,"3,95€","Shoyu ist eine mild-würzige, vielseitige Sojasauce: zum Würzen und Verfeinern von Gemüsegerichten und Suppen, zu Sushi, in Dressings, Dips sowie zum Nachwürzen bei Tisch. , BIO COMPANY SE hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/57018-bio-company-bio-company-bio-shoyu-premium/,https://bilder.kolonial.no/local_products/8fad8457-843a-49fe-9683-a8daced27bd3.jpg?auto=format&fit=max&w=1000&s=b6715ac72410a522751dcea1fea45ea0,15.40 g,11 g,0.80 g,6 g,,0.50 g,302 kJ / 71 kcal,"BIO COMPANY SE, Rheinstraße 45-46, 12161, Berlin, Deutschland",,"Wasser, SOJAbohnen*, WEIZEN*, Meersalz, Koji-Ferment (Aspergillus oryzae) ",250 Milliliter,täglich,Internationale Vielfalt,Asiatisch,oda,,Bio-Produkt,,1 g,,,,,,,,,,,,,,,,,
18,BONASIA Sojasauce hell,"1,39€","Sojasauce, hell , Kreyenhop + Kluge GmbH u. Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/50741-bonasia-bonasia-sojasauce-hell/,https://bilder.kolonial.no/local_products/327f9751-7f6a-4f61-b1fb-af190c437d35.jpg?auto=format&fit=max&w=283&s=8d8a902fd1a2bd527632d18241725c7b,19.50 g,5 g,0.70 g,3.50 g,0.10 g,0.50 g,148 kJ / 35 kcal,"Kreyenhop + Kluge GmbH u. Co. KG, Industriestraße 40-42, 28876 Oyten, Deutschland",China,"Wasser, SOJAbohnen (18%), Salz, WEIZENmehl, Zucker, Konservierungsstoff: Kaliumsorbat (E202). ",250 Milliliter,täglich,Internationale Vielfalt,Asiatisch,oda,,,,,,,,,,,,,,,,,,,,,
19,"BIO COMPANY Bio Sesamöl, kaltgepresst","4,19€"," , BIO COMPANY hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/52509-bio-company-bio-company-bio-sesamol-kaltgepresst/,https://bilder.kolonial.no/local_products/ba2bb02b-b494-495c-96f7-2563d431b1f5.jpg?auto=format&fit=max&w=450&s=fcfc9490b84071448d5dffee4bab3280,,,,,15.60 g,92 g,3404 kJ / 828 kcal,"BIO COMPANY, Rheinstraße 45-46, 12161 Berlin, Deutschland",,"Sesamöl* kaltgepresst

* aus kontrolliert biologischem Anbau",350 Milliliter,täglich,Internationale Vielfalt,Asiatisch,oda,,Bio-Produkt,,,38.20 g,38.20 g,,,,,,,,,,,,,,,
