,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salz,Protein,Ballaststoffe,Zucker,Kohlenhydrate,davon gesättigte Fettsäuren,Fett,Brennwert,Lieferant,Ursprungsregion,Pfand,Zutaten/Inhaltsstoffe,Inhalt,Mögliche Lieferzeiten,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Frischegarantie (mindestens),Gekühlt (+2 bis +7°C) mind. haltbar bis,Eigenschaften,Ursprungsland,Informationen zum Angebot,Lagerung,Kann Spuren enthalten von ,Abtropfgewicht,davon Stärke,Beschreibung,Hinweis zur Frischegarantie,Einfach ungesättigte Fettsäuren,EInlage Currywurstscheiben,Bruttogewicht,Bei Raumtemperatur lichtgeschützt aufbewahren. Nach dem Öffnen kühl (max. +7°C) lagern und innerhalb von 2 Tagen aufbrauchen. Mindestens haltbar bis,Hinweis,davon Polyole,mehrfach ungesättigte Fettsäuren
157,Bio Fr. Ravioli Rucola/Ricotta,"3,85€","Frische Ravioli al Rucola 250 g gefüllt mit Rucola & Ricotta

unter Schutzatmosphäre verpackt , Isana Naturfeinkost GmbH & Co. Produktions- und Handels KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58714-bio-verde-bio-fr-ravioli-rucola-ricotta/,https://bilder.kolonial.no/local_products/382a3c45-aa95-4cf9-a302-da6d17384def.jpg?auto=format&fit=max&w=708&s=b263ba8f9f998fded984e03980a9ffc5,1.30 g,11 g,,1.50 g,36 g,2.50 g,8.50 g,1142 kJ / 271 kcal,"Isana Naturfeinkost GmbH & Co. Produktions- und Handels KG, Gewerbering 22, D-86922 Eresing",Italien,,"HARTWEIZENGRIEß*, RICOTTA* (29%), EIER*, HARTKÄSE*, Sonnenblumenöl*, Paniermehl* (WEIZENMEHL*, Steinsalz, Hefe), Rucola* (3%), Kartoffelflocken*, Steinsalz *aus kontrolliert ökologischer Erzeugung ",250 Gramm,täglich,Schnelle Küche,"Antipasti, Salate & Soßen",oda,,,Bio-Produkt,,,,"Sojabohnen, Senf.",,,,,,,,,,,
158,bio-verde Bio Schwarze Kalamata Oliven Stein,"4,35€","Schwarze Kalamata-Oliven ohne Stein 150 g mariniert mit frischen Kräutern

unter Schutzatmosphäre verpackt , Isana Naturfeinkost GmbH & Co. Produktions- und Handels KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58716-bio-verde-bio-verde-bio-schwarze-kalamata-oliven-s/,https://bilder.kolonial.no/local_products/c7ef6fa4-6fdc-4117-ad15-82f395a91c62.jpg?auto=format&fit=max&w=701&s=e2dbf8cc9972fc8d18d83c5e9a0ebd35,2.60 g,1.30 g,,0.50 g,1.10 g,3.20 g,27 g,1040 kJ / 253 kcal,"Isana Naturfeinkost GmbH & Co. Produktions- und Handels KG, Gewerbering 22, D-86922 Eresing",Deutschland,,"Kalamata-Oliven* (92 %), Kräuter* (3% - Basilikum*, Petersilie*, Oregano*, Thymian*, Rosmarin*), Sonnenblumenöl*, Meersalz, Olivenöl*, konzentrierter Zitronensaft*, Kartoffelflocken* *aus kontrolliert ökologischer Erzeugung",150 Gramm,täglich,Schnelle Küche,"Antipasti, Salate & Soßen",oda,,,Bio-Produkt,,,,,,,,,,,,,,,
159,bio-verde Bio Grüne Oliven mit frischen Kräutern,"3,99€","Grüne Oliven ohne Stein 150 g mariniert mit frischen Kräutern

unter Schutzatmosphäre verpackt , Isana Naturfeinkost GmbH & Co. Produktions- und Handels KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58717-bio-verde-bio-verde-bio-grune-oliven-mit-frischen/,https://bilder.kolonial.no/local_products/b1fc133a-ad6c-4810-9180-e5c14d610eac.jpg?auto=format&fit=max&w=701&s=4adbebfeea4cea0a54fb0112512cc74e,2.60 g,1.20 g,,0.50 g,1 g,2.50 g,17 g,661 kJ / 161 kcal,"Isana Naturfeinkost GmbH & Co. Produktions- und Handels KG, Gewerbering 22, D-86922 Eresing",Deutschland,,"grüne Oliven* (92 %), Kräuter* (3% - Basilikum*, Petersilie*, Oregano*, Thymian*, Rosmarin*), Sonnenblumenöl*, Meersalz, Olivenöl*, konzentrierter Zitronensaft*, Kartoffelflocken* *aus kontrolliert ökologischer Erzeugung",150 Gramm,täglich,Schnelle Küche,"Antipasti, Salate & Soßen",oda,,,Bio-Produkt,,,,,,,,,,,,,,,
160,bio-verde Bio Oliven-Mix ohne Stein,"6,19€","Oliven-Mix ohne Stein 150 g mariniert mit frischen Kräutern

unter Schutzatmosphäre verpackt , Isana Naturfeinkost GmbH & Co. Produktions- und Handels KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58718-bio-verde-bio-verde-bio-oliven-mix-ohne-stein/,https://bilder.kolonial.no/local_products/5a5b6da8-3ea8-40b6-9c9c-c7545f7fcd9c.jpg?auto=format&fit=max&w=701&s=35d148804ebd7b6532da8c00e8f75983,2.60 g,1.30 g,,0.50 g,1 g,2.90 g,22 g,851 kJ / 207 kcal,"Isana Naturfeinkost GmbH & Co. Produktions- und Handels KG, Gewerbering 22, D-86922 Eresing",Deutschland,,"grüne und schwarze Oliven* (92 %), Kräuter* (3% - Basilikum*, Petersilie*, Oregano*, Thymian*, Rosmarin*), Sonnenblumenöl*, Meersalz, Olivenöl*, konzentrierter Zitronensaft*, Kartoffelflocken* *aus kontrolliert ökologischer Erzeugung",150 Gramm,täglich,Schnelle Küche,"Antipasti, Salate & Soßen",oda,,,Bio-Produkt,,,,,,,,,,,,,,,
161,bio-verde Bio Couscous- Salat,"2,79€","Couscous-Salat 125g mit Linsen und Lauch, vegan

unter Schutzatmosphäre verpackt , Isana Naturfeinkost GmbH & Co. Produktions- und Handels KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58719-bio-verde-bio-verde-bio-couscous-salat/,https://bilder.kolonial.no/local_products/e082c86e-c636-4c2b-9495-648d329558fb.jpg?auto=format&fit=max&w=1000&s=fd355e5439cfc28d331f35c281027cd6,1.90 g,4.70 g,,3.30 g,21 g,2.70 g,23 g,1306 kJ / 315 kcal,"Isana Naturfeinkost GmbH & Co. Produktions- und Handels KG, Gewerbering 22, D-86922 Eresing",Deutschland,,"Couscous* (27% - HARTWEIZEN* und Wasser), Sonnenblumenöl*, Linsen* (14%), Karotten* (10%), Olivenöl*, Petersilie*, Lauch* (6%), Paprika*, Tomaten*, Meersalz, Agavendicksaft*, Knoblauch*, konzentrierter Apfelsaft*, konzentrierter Zitronensaft*, Branntweinessig*, Paprika edelsüß*, Peperoni*, Kurkuma* *aus kontrolliert ökologischer Erzeugung ",125 Gramm,täglich,Schnelle Küche,"Antipasti, Salate & Soßen",oda,,,Bio-Produkt,,,,,,,,,,,,,,,
162,Bio Herings-Salat m. fein. Dill,"4,69€","Hering-Salat mit feinem Dill, traditionell mit Gurken und Zwiebeln sowie einem Hauch Senf verfeinert. , Heiderbeck GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58720-bio-verde-bio-herings-salat-m-fein-dill/,https://bilder.kolonial.no/local_products/a499b034-7620-450d-98bd-9a88c29c0c81.jpg?auto=format&fit=max&w=1000&s=77a1720f29271c0d7dbb567be4032f39,2.30 g,5.10 g,,9 g,9.10 g,4.80 g,27.80 g,1276 kJ / 308 kcal,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Deutschland",Deutschland,,"HERING** (Clupea Harengus - 41%), Sonnenblumenöl*, Gurken*, Zwiebeln*, Rohrzucker*, SENF* (Wasser, SENFSAATEN*, Branntweinessig*, Meersalz, Gewürze*, Kräuter*), konzentrierter Apfelsaft*, EIGELB*, Meersalz, Branntweinessig*, Dill* (1%), Maisstärke*
* aus kontrolliert ökologischem Anbau
** Wildfisch ",150 Gramm,täglich,Schnelle Küche,"Antipasti, Salate & Soßen",oda,,,Bio-Produkt,,,,,,,,,,,,,,,
163,bio-verde Bio Linsen-Salat vegan,"2,99€","Linsen Salat mit Lauch und Karotte, vegan, als Vorspeise, Beilage oder kleine Zwischenmahlzeit. , Heiderbeck GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58721-bio-verde-bio-verde-bio-linsen-salat-vegan/,https://bilder.kolonial.no/local_products/133a73e3-3b19-49fb-9727-53db4e973707.jpg?auto=format&fit=max&w=1000&s=3e3ed461edc04eabae41bba4d75f8ca6,2 g,5.60 g,,6 g,17 g,0.60 g,4.70 g,617 kJ / 147 kcal,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Deutschland",Deutschland,,"55% Berglinsen*, 13% Karotten*, 12% Lauch*, Apfelsaftkonzentrat*, Agavendicksaft*, Sonnenblumenöl*, Petersilie*, Weißweinessig*, Meersalz*, Gewürze*, Koriander*, Olivenöl*, Branntweinessig*.
* aus kontrolliert ökologischem Anbau
Kann Spuren von Weizen, Gerste und Soja enthalten.",125 Gramm,täglich,Schnelle Küche,"Antipasti, Salate & Soßen",oda,4 Tage,,Bio-Produkt,,,,Sojabohnen.,,,,,,,,,,,
164,bio-verde Bio Algen- Salat mit Sesam/Ingwer,"3,25€","Algen-Salat mit Sesam und Ingwer 100 g

unter Schutzatmosphäre verpackt , Isana Naturfeinkost GmbH & Co. Produktions- und Handels KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58723-bio-verde-bio-verde-bio-algen-salat-mit-sesam-ingw/,https://bilder.kolonial.no/local_products/ed6b5cfc-5c07-4279-bfd5-429d68911a9b.jpg?auto=format&fit=max&w=1000&s=6b2454820b72c54f954a3276d1219b61,2.80 g,2.90 g,,10 g,10 g,1.30 g,8 g,572 kJ / 138 kcal,"Isana Naturfeinkost GmbH & Co. Produktions- und Handels KG, Gewerbering 22, D-86922 Eresing",Deutschland,,"Algen**(39%), Karotten* (16%), Lauch* (11%), Sojasauce* (Wasser, SOJABOHNEN*, WEIZEN*, Meersalz, Koji (Fermentationskultur)), SESAM* (3%), SESAMÖL*(3%), konzentrierter Apfelsaft*, Meersalz, Agavendicksaft*, Ingwer* (<1%), Basilikum*, Branntweinessig*, Peperoni* *aus kontrolliert ökologischer Erzeugung ",100 Gramm,täglich,Schnelle Küche,"Antipasti, Salate & Soßen",oda,,,Bio-Produkt,,,KühlproduktMuss zwischen 0-4 °C gelagert werden.,,,,,,,,,,,,
165,bio-verde Bio Kimchi Das Original,"2,65€","Fermentierter Spitzkohl, vegan, klassisches Gericht aus der koreanischen Küche. , Heiderbeck GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58724-bio-verde-bio-verde-bio-kimchi-das-original/,https://bilder.kolonial.no/local_products/d74ff14e-a411-4948-af88-406750952094.jpg?auto=format&fit=max&w=1000&s=5b62e9e29e1b3b0eaac936036f2a1373,2.10 g,1.40 g,,4.30 g,4.60 g,0.50 g,0.50 g,135 kJ / 32 kcal,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Deutschland",Deutschland,,"61% Spitzkohl*, Zwiebel*, Paprika*, Ingwer*, Karotten*, 2% Knoblauch*, konzentrierter Apfelsaft*, Meersalz, Gewürze*, Gurke, Kurkuma*, Branntweinessig*.
* aus kontrolliert ökologischem Anbau",125 Gramm,täglich,Schnelle Küche,"Antipasti, Salate & Soßen",oda,,,Bio-Produkt,,,,,,,,,,,,,,,
166,Bio Artischockenherzen,"4,39€","Artischockenherzen 150 g mariniert mit frischen Kräutern

unter Schutzatmosphäre verpackt , Isana Naturfeinkost GmbH & Co. Produktions- und Handels KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58726-bio-verde-bio-artischockenherzen/,https://bilder.kolonial.no/local_products/ce59f3d0-bf34-4003-b261-7632607a2a31.jpg?auto=format&fit=max&w=701&s=3b2776e96c0e91eb0f1fdfa2bcd1ef5a,,,,,,,,,"Isana Naturfeinkost GmbH & Co. Produktions- und Handels KG, Gewerbering 22, D-86922 Eresing",Deutschland,,"Artischocken* (90%), Sonnenblumenöl*, Kräuter* (3% - Basilikum*, Petersilie*, Oregano*, Thymian*, Rosmarin*), Meersalz, Olivenöl*, konzentrierter Zitronensaft*, Branntweinessig* *aus kontrolliert ökologischer Erzeugung",150 Gramm,täglich,Schnelle Küche,"Antipasti, Salate & Soßen",oda,,,Bio-Produkt,,,,,,,,,,,,,,,
