,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salz,Protein,Ballaststoffe,Zucker,Kohlenhydrate,davon gesättigte Fettsäuren,Fett,Brennwert,Lieferant,Ursprungsregion,Pfand,Zutaten/Inhaltsstoffe,Inhalt,Mögliche Lieferzeiten,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Frischegarantie (mindestens),Gekühlt (+2 bis +7°C) mind. haltbar bis,Eigenschaften,Ursprungsland,Informationen zum Angebot,Lagerung,Kann Spuren enthalten von ,Abtropfgewicht,davon Stärke,Beschreibung,Hinweis zur Frischegarantie,Einfach ungesättigte Fettsäuren,EInlage Currywurstscheiben,Bruttogewicht,Bei Raumtemperatur lichtgeschützt aufbewahren. Nach dem Öffnen kühl (max. +7°C) lagern und innerhalb von 2 Tagen aufbrauchen. Mindestens haltbar bis,Hinweis,davon Polyole,mehrfach ungesättigte Fettsäuren
0,Innocent Orangensaft ohne Fruchtfleisch,"2,99€","innocent Orangensaft ohne Fruchtfleisch 900ml , innocent Deutschland GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/44085-innocent-innocent-orangensaft-ohne-fruchtfleisch-e/,https://bilder.kolonial.no/local_products/5d637b19-92f4-45af-afd5-d89937c3ec00.jpg?auto=format&fit=max&w=1000&s=c57faaff3fcc2d11c3f917d0a690754e,0.01 g,0.70 g,0.70 g,7.80 g,7.80 g,0.10 g,0.50 g,149 kJ / 35 kcal,"innocent Deutschland GmbH, Oskar-von-Miller-Ring 20, D-80333 München, Deutschland",,"+ 0,25 €",Orangensaft (100%).,900 Milliliter,täglich,Schnelle Küche,Frische Säfte & Smoothies,oda,,,,,,,,,,,,,,,,,,
1,"Innocent Juice Plus ""Blue Break""","3,29€","innocent Blue Break 750ml , innocent Deutschland GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/54311-innocent-innocent-juice-plus-blue-break/,https://bilder.kolonial.no/local_products/12b7276b-735b-43b6-a1f5-db0c720c35fb.jpg?auto=format&fit=max&w=1000&s=fcab20125644ada1c721a432bf5f4ccb,0.01 g,0.50 g,,9.30 g,10 g,0.10 g,0.50 g,172 kJ / 41 kcal,"innocent Deutschland GmbH, Oskar-von-Miller-Ring 20, D-80333 München, Deutschland",,,"Apfelsaft (66%), Kokosnusssaft (18%), weißer Traubensaft, weißes Guavenpüree (5,2%), Maracujapüree, Limettensaft, Spirulina-Extrakt (0,81%) und Vitamine (Vitamin B1, B2, B3, B6, C, E).",750 Milliliter,täglich,Schnelle Küche,Frische Säfte & Smoothies,oda,6 Tage,,,,,,,,,,,,,,,,,
2,Dean & David Green Guru Saft,"3,69€","mit Orangensaft, Apfelsaft und Selleriesaft , dean&david smartfood GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/59622-deandavid-dean-david-green-guru-saft-einweg/,https://bilder.kolonial.no/local_products/d598547c-42f5-4704-b5f1-25c032af5a95.jpg?auto=format&fit=max&w=450&s=919eed593dea06bf270c7ac655988d1d,0 g,0.54 g,,7.30 g,8.40 g,0 g,0 g,163 kJ / 38 kcal,"dean&david smartfood GmbH, Lohenstraße 8, 82166 Gräfelfing, Deutschland",Deutschland,"+ 0,25 €","Zutaten: Orangensaft 35,5%, Apfelsaft 34%, Selleriesaft 20%, Spinatsaft 8%, Ingwersaft 1,5%, Zitronensaft 1%, Weizengraspulver 0,02%, Ascorbinsäure",330 Milliliter,täglich,Schnelle Küche,Frische Säfte & Smoothies,oda,,,,,,,,,,,,,,,,,,
3,Dean & David Berry Love Saft,"3,69€","mit Orangensaft, Ananassaft und Erdbeersaft , dean&david smartfood GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/59623-deandavid-dean-david-berry-love-saft-einweg/,https://bilder.kolonial.no/local_products/b5836a6f-afbc-4e50-8f0a-eb2b52ed1de1.jpg?auto=format&fit=max&w=223&s=2eb5cabfdb4b29106c609eae4c8e2786,0 g,0.60 g,,10.20 g,10.20 g,0 g,0 g,208 kJ / 50 kcal,"dean&david smartfood GmbH, Lohenstraße 8, 82166 Gräfelfing, Deutschland",Deutschland,"+ 0,25 €","Zutaten: Orangensaft 41%, Ananassaft 41%, Erdbeersaft 16%, Rote Bete Saft 2%, Açaí 0,01%, Ascorbinsäure",330 Milliliter,täglich,Schnelle Küche,Frische Säfte & Smoothies,oda,,,,,,,,,,,,,,,,,,
4,Dean & David Refresh Saft,"3,69€","mit Ananassaft, Apfelsaft und Kokosnusswasser , dean&david smartfood GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/59624-deandavid-dean-david-refresh-saft-einweg/,https://bilder.kolonial.no/local_products/2aa7fc60-637c-4946-8e27-ca9cccd307f8.jpg?auto=format&fit=max&w=449&s=3c14975e7868b2c1718209ee28eb6329,0 g,0.30 g,,9.90 g,10.50 g,0 g,0 g,187 kJ / 44 kcal,"dean&david smartfood GmbH, Lohenstraße 8, 82166 Gräfelfing, Deutschland",Deutschland,"+ 0,25 €","Zutaten: Ananassaft 50%, Apfelsaft 43,7%, Kokosnusswasser 5%, Limettensaft 1%, Zitronengrassaft 0,3%, Ascorbinsäure",330 Milliliter,täglich,Schnelle Küche,Frische Säfte & Smoothies,oda,,,,,,,,,,,,,,,,,,
5,Dean & David Ingwershot Kurkuma,"2,59€","mit Orangensaft, Ingwersaft und Kurkumasaft , dean&david smartfood GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/59625-deandavid-dean-david-ingwershot-kurkuma/,https://bilder.kolonial.no/local_products/17d44261-6905-4e86-af5b-7fb1cf2e7a94.jpg?auto=format&fit=max&w=341&s=da5e7ff3e2820f4eccf75a7b9f93ac77,-0.02 g,0.86 g,,8.43 g,8.54 g,0.09 g,0 g,172 kJ / 41 kcal,"dean&david smartfood GmbH, Lohenstraße 8, 82166 Gräfelfing, Deutschland",Deutschland,,"Orangensaft, 26% Ingwersaft, 2,5% Kurkumasaft, Agavendicksaft",80 Milliliter,täglich,Schnelle Küche,Frische Säfte & Smoothies,oda,,,,,,,,,,,,,,,,,,
6,Dean & David Ingwershot Granatapfel Acai,"2,59€","mit Apfelsaft, Granatapfelsaft und Ingwersaft , dean&david smartfood GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/59626-deandavid-dean-david-ingwershot-granatapfel-acai/,https://bilder.kolonial.no/local_products/f926020d-8466-4dc5-8da3-541d9b866730.jpg?auto=format&fit=max&w=356&s=aa725eff4dec759b49a3be920974a5f6,0 g,0.80 g,,11.40 g,13.50 g,0.20 g,1 g,260 kJ / 62 kcal,"dean&david smartfood GmbH, Lohenstraße 8, 82166 Gräfelfing, Deutschland",Deutschland,,"36% Apfelsaft, 35% Granatapfelsaft, 25% Ingwersaft, 3% Rote Beete Saft,1% Limettensaft, Acai Pulver 0,01%",80 Milliliter,täglich,Schnelle Küche,Frische Säfte & Smoothies,oda,,siehe Deckel,,,,,,,,,,,,,,,,
7,Dean & David Ingwershot Spirulina,"2,59€","mit Apfelsaft, Ingwersaft und Blue Spirulin , dean&david smartfood GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/59627-deandavid-dean-david-ingwershot-spirulina/,https://bilder.kolonial.no/local_products/20005d1d-0d1a-4ccf-8e5d-256cd9017ec7.jpg?auto=format&fit=max&w=356&s=56951c3dac54d65bb60895031fa201c2,0 g,0.40 g,,9.80 g,9.80 g,0 g,0.10 g,205 kJ / 49 kcal,"dean&david smartfood GmbH, Lohenstraße 8, 82166 Gräfelfing, Deutschland",Deutschland,,"73,5% Apfelsaft, 25% Ingwersaft, 1,5% Agavendicksaft, Blue Spirulina 0,01%, Ascorbinsäure",80 Milliliter,täglich,Schnelle Küche,Frische Säfte & Smoothies,oda,,siehe Deckel,,,,,,,,,,,,,,,,
8,Innocent Orangesaft mit Fruchtfleisch,"3,69€","innocent Direktsaft Orangensaft mit Fruchtfleisch 1,35l , innocent Deutschland GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/54405-innocent-innocent-orangesaft-mit-fruchtfleisch-ein/,https://bilder.kolonial.no/local_products/baed6dd2-73b9-4032-9bc6-e48b25774909.jpg?auto=format&fit=max&w=440&s=389c6288207bd064918756b061004081,0.01 g,0.80 g,0.90 g,7.80 g,7.80 g,0.10 g,0.50 g,152 kJ / 36 kcal,"innocent Deutschland GmbH, Oskar-von-Miller-Ring 20, D-80333 München, Deutschland",,"+ 0,25 €",Orangensaft (100%).,1350 Milliliter,täglich,Schnelle Küche,Frische Säfte & Smoothies,oda,,,,,,,,,,,,,,,,,,
9,Innocent Orangensaft mit Fruchtfleisch,"2,99€","innocent Orangensaft mit Fruchtfleisch 900ml , innocent Deutschland GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/42684-innocent-innocent-orangensaft-mit-fruchtfleisch-ei/,https://bilder.kolonial.no/local_products/5fa3e04c-4a29-4da6-ab90-e33119a0b091.jpg?auto=format&fit=max&w=516&s=611f277174648c4c351993ef38e7434f,0.01 g,0.80 g,0.90 g,7.80 g,7.80 g,0.10 g,0.50 g,152 kJ / 36 kcal,"innocent Deutschland GmbH, Oskar-von-Miller-Ring 20, D-80333 München, Deutschland",,"+ 0,25 €",Orangensaft (100%).,900 Milliliter,täglich,Schnelle Küche,Frische Säfte & Smoothies,oda,,,,,,,,,,,,,,,,,,
10,Innocent Orange & Mango,"3,29€","innocent Direktsaft Orange & Mango 900ml , innocent Deutschland GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/46999-innocent-innocent-orange-mango-einweg-mit-pfand/,https://bilder.kolonial.no/local_products/1f5d66d3-21c4-4ced-be19-259b1d35b4e7.jpg?auto=format&fit=max&w=516&s=41f7d7fcb2fadc6261775c3665ddf3c0,0.01 g,0.70 g,1.10 g,8.40 g,9.40 g,0.10 g,0.50 g,181 kJ / 43 kcal,"innocent Deutschland GmbH, Oskar-von-Miller-Ring 20, D-80333 München, Deutschland",,"+ 0,25 €",Orangensaft (86%) und Mangopüree (14%).,900 Milliliter,täglich,Schnelle Küche,Frische Säfte & Smoothies,oda,,,,,,,,,,,,,,,,,,
11,Innocent Clementine & Mandarine Direktsaft,"3,29€","innocent Direktsaft Clementine & Mandarine 900ml , innocent Deutschland GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58322-innocent-innocent-clementine-mandarine-direktsaft/,https://bilder.kolonial.no/local_products/176fa9d5-5a06-4a0c-bde6-1bacb0a78570.jpg?auto=format&fit=max&w=1000&s=95587302e1efec6144eeaa522746cffd,0.01 g,0.70 g,,9.10 g,11 g,0.10 g,0.50 g,199 kJ / 47 kcal,"innocent Deutschland GmbH, Oskar-von-Miller-Ring 20, D-80333 München, Deutschland",,"+ 0,25 €",Clementinensaft (80%) und Mandarinensaft (20%).,"0,90 Liter",täglich,Schnelle Küche,Frische Säfte & Smoothies,oda,6 Tage,,,,,,,,,,,,,,,,,
12,Innocent Gelber Multi Mix,"3,29€","innocent Direktsaft Multi Mix gelb 900ml , innocent Deutschland GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/42928-innocent-innocent-gelber-multi-mix-einweg-mit-pfan/,https://bilder.kolonial.no/local_products/1d130052-fcf6-4422-8b3c-b72cc0e34dba.jpg?auto=format&fit=max&w=516&s=71788576428d377fe89870f971bb5525,0.01 g,0.50 g,0.50 g,8.90 g,10 g,0.10 g,0.50 g,172 kJ / 41 kcal,"innocent Deutschland GmbH, Oskar-von-Miller-Ring 20, D-80333 München, Deutschland",,"+ 0,25 €","Apfelsaft (51%), Orangensaft (35%), Ananassaft (11,5%), Mangopüree (1,5%), Maracujapüree (1%) und Vitamin C.",900 Milliliter,täglich,Schnelle Küche,Frische Säfte & Smoothies,oda,6 Tage,,,,,,,,,,,,,,,,,
13,Innocent Multi Mix Saft,"3,29€","innocent Direktsaft Multi Mix orange 900ml , innocent Deutschland GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/45893-innocent-innocent-multi-mix-saft-einweg-mit-pfand/,https://bilder.kolonial.no/local_products/12d349bf-ce19-4089-826a-b67d9bb56e01.jpg?auto=format&fit=max&w=516&s=6bebb966583b7d88e6fa52fabe9b9a6d,0.01 g,0.50 g,,9.50 g,11 g,0.10 g,0.50 g,185 kJ / 44 kcal,"innocent Deutschland GmbH, Oskar-von-Miller-Ring 20, D-80333 München, Deutschland",,"+ 0,25 €","Orangensaft (35%), Apfelsaft (28%), weißer Traubensaft (15%), Ananassaft (7,6%), Karottensaft (4,5%), Pfirsichpüree (3,6%), Mangopüree (1,8%), Birnenpüree (1,7%), Maracujapüree (1,7%), Zitronensaft (1%) und Vitamin C.",900 Milliliter,täglich,Schnelle Küche,Frische Säfte & Smoothies,oda,4 Tage,,,,,,,,,,,,,,,,,
14,Innocent Apfel-Kiwi-Gurke Saft,"3,29€","innocent Direktsaft Apfel, Kiwi & Gurke 900ml , innocent Deutschland GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/42445-innocent-innocent-apfel-kiwi-gurke-saft-einweg-mit/,https://bilder.kolonial.no/local_products/1a9adb9b-f1d4-4cdf-afef-52b21732522e.jpg?auto=format&fit=max&w=335&s=f4548c01d34b0f11e1bbe9606def2e66,0.01 g,0.50 g,,8.70 g,9.80 g,0.10 g,0.50 g,167 kJ / 39 kcal,"innocent Deutschland GmbH, Oskar-von-Miller-Ring 20, D-80333 München, Deutschland",,"+ 0,25 €","Apfelsaft (83%), Kiwipüree (8,5%), Gurkenpüree (7,1%), Zitronensaft, Limettensaft (0,57%), Spirulina-Extrakt, Saflor-Extrakt und Vitamin C.",900 Milliliter,täglich,Schnelle Küche,Frische Säfte & Smoothies,oda,,,,,,,,,,,,,,,,,,
15,Innocent Apfel & Beeren Saft,"3,29€","innocent Direktsaft Apfel & Beeren 900ml , innocent Deutschland GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/47103-innocent-innocent-apfel-beeren-saft-einweg-mit-pfa/,https://bilder.kolonial.no/local_products/5ff9e7cd-8ce5-4f7a-aaa2-cef8df85b7fa.jpg?auto=format&fit=max&w=516&s=8874d65591317e12ca5a92f3cabc004e,0.01 g,0.50 g,1.20 g,9.60 g,10 g,0.10 g,0.50 g,179 kJ / 42 kcal,"innocent Deutschland GmbH, Oskar-von-Miller-Ring 20, D-80333 München, Deutschland",,"+ 0,25 €","Apfelsaft (69%), weißer Traubensaft, Erdbeerpüree (12%), schwarzer Johannisbeersaft (4%) und Vitamin C.",900 Milliliter,täglich,Schnelle Küche,Frische Säfte & Smoothies,oda,,,,,,,,,,,,,,,,,,
16,"Innocent Wilde Blaubeere, Johannisbeere & Cranberry","3,29€","innocent Direktsaft Blaubeere, Apfel, Johannisbeere & Cranberry Saft 900ml , innocent Deutschland GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/46451-innocent-innocent-wilde-blaubeere-johannisbeere-cr/,https://bilder.kolonial.no/local_products/050aa562-ab83-4935-b95a-58411e62e103.jpg?auto=format&fit=max&w=516&s=90bfa1680b0852a62fe89120a3bef1ea,0.01 g,0.50 g,,10 g,11 g,0.10 g,0.50 g,192 kJ / 45 kcal,"innocent Deutschland GmbH, Oskar-von-Miller-Ring 20, D-80333 München, Deutschland",,"+ 0,25 €","Apfelsaft (73%), weißer Traubensaft (9,6 %), schwarzer Johannisbeersaft (6,7%), Birnenpüree (4,8 %), Blaubeerpüree (4,3 %), Cranberrypüree (1,4 %) und Vitamin C.",900 Milliliter,täglich,Schnelle Küche,Frische Säfte & Smoothies,oda,6 Tage,,,,,,,,,,,,,,,,,
17,BIO COMPANY Bio Smoothie 1,"1,89€","Smoothie auf Apfelbasis mit fruchtig-süßer Mango, erfrischender Guanabana und Moringa und cremigem Bananenmark. , BIO COMPANY SE hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/52508-bio-company-bio-company-bio-smoothie-1/,https://bilder.kolonial.no/local_products/8b21ce56-004e-4c04-b49e-b3fc5b85cd19.jpg?auto=format&fit=max&w=450&s=97a2b0d14d7c288f6a1931849b14858f,0.01 g,0.50 g,,13 g,14 g,,0.50 g,252 kJ / 61 kcal,"BIO COMPANY SE, Rheinstraße 45-46, 12161, Berlin, Deutschland",,,"Apfelsaft* 50 %, Mangomark* 18 %, Bananenmark* 15 %, Apfelmark* 11 %, Guanabanamark* 5 %, Moringa-Pulver* 0,2 %.",250 Milliliter,täglich,Schnelle Küche,Frische Säfte & Smoothies,oda,,,Bio-Produkt,,,,,,,,,,,,,,,
18,BIO COMPANY Bio Smoothie 2,"1,89€"," , BIO COMPANY hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/52507-bio-company-bio-company-bio-smoothie-2/,https://bilder.kolonial.no/local_products/9df51fcb-df10-4e12-937f-0a07a2e2f990.jpg?auto=format&fit=max&w=450&s=cad155d31c40db67b6da425b350806f7,0.01 g,0.50 g,,13 g,14 g,0.10 g,0.50 g,252 kJ / 61 kcal,"BIO COMPANY, Rheinstraße 45-46, 12161 Berlin, Deutschland",,,"Apfelsaft* 50 %, Mangomark* 18 %, Bananenmark* 15 %, Apfelmark* 11 %, Guanabanamark* 5 %, Moringa-Pulver* 0,2 %.

* aus kontrolliert biologischem Anbau",250 Milliliter,täglich,Schnelle Küche,Frische Säfte & Smoothies,oda,,,Bio-Produkt,,,,,,,,,,,,,,,
19,BIO COMPANY Bio Smoothie 3,"1,89€","Cremiger Smoothie mit aromatischem Erdbeermark, pikant-süßlichem Acaimark und Stachelbeersaft. Auf Basis von Banane und Apfel. , BIO COMPANY SE hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/52506-bio-company-bio-company-bio-smoothie-3/,https://bilder.kolonial.no/local_products/4648bf0c-08ad-4384-9af5-0582546d84db.jpg?auto=format&fit=max&w=450&s=eae6ed9941ef7a1a1aaaa0c8742c11d8,0.01 g,0.50 g,,12 g,12 g,,0.50 g,244 kJ / 59 kcal,"BIO COMPANY SE, Rheinstraße 45-46, 12161, Berlin, Deutschland",,,"Apfelsaft* 39 %, Apfelmark* 20 %, Bananenmark* 19 %, Stachelbeersaft* 9 %, Erdbeermark* 8 %, Acaimark* 5 %",250 Milliliter,täglich,Schnelle Küche,Frische Säfte & Smoothies,oda,,,Bio-Produkt,,,,,,,,,,,,,,,
20,BIO COMPANY Bio Smoothie 4,"1,89€","Fruchtig-süßer Smoothie auf Basis von Orange und Apfel - mit zartem Pfirsich, frischer Möhre, spritziger Zitrone und herber Guarana. , BIO COMPANY SE hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/52505-bio-company-bio-company-bio-smoothie-4/,https://bilder.kolonial.no/local_products/34917c13-2e72-4e08-8231-a025deb14217.jpg?auto=format&fit=max&w=450&s=96b1f8c5d208a3d31c0b3df4aa3ef457,0.01 g,0.60 g,,9 g,9.50 g,,0.50 g,188 kJ / 45 kcal,"BIO COMPANY SE, Rheinstraße 45-46, 12161, Berlin, Deutschland",,,"Orangensaft* 34 %, Apfelmark* 33 %, Pfirsichmark* 20 %, Möhrensaft* (Möhrensaft*, Zitronensaft*) 12 %, Guaranaextrakt* 0,1%.",250 Milliliter,täglich,Schnelle Küche,Frische Säfte & Smoothies,oda,,,Bio-Produkt,,,,,,,,,,,,,,,
21,Innocent Smoothie Magnificent Mango,"1,99€","innocent Mango, Maracuja & Apfel 250ml , innocent Deutschland GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/47410-innocent-innocent-smoothie-magnificent-mango-einwe/,https://bilder.kolonial.no/local_products/639b10df-3280-4b5d-aa73-d53fdf79dfe9.jpg?auto=format&fit=max&w=516&s=3c8d0f966973c2430b6c70e12871c226,0.01 g,0.50 g,1.40 g,11 g,12 g,0.10 g,0.50 g,216 kJ / 51 kcal,"innocent Deutschland GmbH, Oskar-von-Miller-Ring 20, D-80333 München, Deutschland",,"+ 0,25 €","Apfelsaft (51%), Mangopüree (16%), Bananenpüree, Orangensaft, Maracujapüree (3%), Pfirsichpüree und Limettensaft.",250 Milliliter,täglich,Schnelle Küche,Frische Säfte & Smoothies,oda,,,,,,,,,,,,,,,,,,
22,"Innocent Smoothie Plus ""Energise","1,99€","Mischung aus püriertem Obst, Frucht- und Gemüsesaft (Direktsaft), Leinsamen und Guarana-Extrakt, angereichert mit Vitaminen. , innocent Deutschland GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/43037-innocent-innocent-smoothie-plus-energise-einweg-mi/,https://bilder.kolonial.no/local_products/72997d44-460c-48ee-a1c1-ecaa65ed78e8.jpg?auto=format&fit=max&w=1000&s=467008004c1ee279802791c5bdba7e2e,0.01 g,0.60 g,0.80 g,10 g,12 g,0.10 g,0.50 g,221 kJ / 52 kcal,"innocent Deutschland GmbH, Oskar-von-Miller-Ring 20, D-80333 München, Deutschland",,"+ 0,25 €","Apfelsaft (50%), roter und weißer Traubensaft (17%), Bananenpüree (14%), Erdbeerpüree (10%), schwarzer Johannisbeersaft (3,4%), Sauerkirschpüree (3,3%), Rote-Beete-Saft (1,5%), zerriebene Leinsamen (0,56%), Vitamine (Vitamin B1, B2, B6, C, E, Niacin), Guarana-Extrakt (0,01%).",250 Milliliter,täglich,Schnelle Küche,Frische Säfte & Smoothies,oda,,,,,,,,,,,,,,,,,,
23,Innocent Smoothie Berry Good,"1,99€","innocent Johannisbeere, Erdbeere & Apfel 250ml , innocent Deutschland GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/45104-innocent-innocent-smoothie-berry-good-einweg-mit-p/,https://bilder.kolonial.no/local_products/c7e846c8-49b4-451b-bc17-c67fc7714964.jpg?auto=format&fit=max&w=516&s=cf19618d016015d7cd3a561b9e72affc,0.01 g,0.60 g,1.10 g,10 g,12 g,0.10 g,0.50 g,225 kJ / 53 kcal,"innocent Deutschland GmbH, Oskar-von-Miller-Ring 20, D-80333 München, Deutschland",,"+ 0,25 €","Apfelsaft (41%), Bananenpüree, weißer Traubensaft, schwarzes Johannisbeerpüree (5,9%), Erdbeerpüree (5,9%), Orangensaft, Brombeerpüree (5%) und Limettensaft.",250 Milliliter,täglich,Schnelle Küche,Frische Säfte & Smoothies,oda,,,,,,,,,,,,,,,,,,
24,Innocent Smoothie Kiwi Wonder,"1,99€","innocent Kiwi, Apfel & Limette 250ml , innocent Deutschland GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/44461-innocent-innocent-smoothie-kiwi-wonder-einweg-mit/,https://bilder.kolonial.no/local_products/625144e2-4a9e-4303-9c7c-83e90e86e5e0.jpg?auto=format&fit=max&w=516&s=d92063b4ddae5ed1c48229ff3ce05a41,0.01 g,1.10 g,1.80 g,10 g,12 g,0.10 g,0.50 g,242 kJ / 57 kcal,"innocent Deutschland GmbH, Oskar-von-Miller-Ring 20, D-80333 München, Deutschland",,"+ 0,25 €","Apfelsaft (47%), Ananassaft, Kiwipüree (16%), weißer Traubensaft, Limettensaft (1,2%), Spirulina-Extrakt und Saflor-Extrakt.",250 Milliliter,täglich,Schnelle Küche,Frische Säfte & Smoothies,oda,,,,,,,,,,,,,,,,,,
25,"Innocent Smoothie Coco & Co - Ananas, Banane, Kokosnuss","1,99€","innocent Ananas, Banane & Kokosnuss 250ml , innocent Deutschland GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/43877-innocent-innocent-smoothie-coco-co-ananas-banane-k/,https://bilder.kolonial.no/local_products/fc943996-1c6d-4ec5-82dd-115be7352c7d.jpg?auto=format&fit=max&w=516&s=c40d673e719d6c4f814e56a002b08de5,0.01 g,0.80 g,1.10 g,12 g,14 g,0.60 g,0.70 g,280 kJ / 66 kcal,"innocent Deutschland GmbH, Oskar-von-Miller-Ring 20, D-80333 München, Deutschland",,"+ 0,25 €","Ananassaft (39%), Bananenpüree (37%), Apfelsaft, Orangensaft, Kokosnussmilch (3,3%) und Zitronensaft.",250 Milliliter,täglich,Schnelle Küche,Frische Säfte & Smoothies,oda,,,,,,,,,,,,,,,,,,
26,"Innocent Smoothie Ananas, Erdbeere & Apfel","1,99€","innocent  Ananas, Erdbeere & Apfel 250ml , innocent Deutschland GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/43735-innocent-innocent-smoothie-ananas-erdbeere-apfel-e/,https://bilder.kolonial.no/local_products/2c5bb575-cd53-42af-aeeb-9ba10809fdb8.jpg?auto=format&fit=max&w=1000&s=76d54dbf0ddb0b4cd46ae4fef07f23cb,0.01 g,0.60 g,1 g,11 g,12 g,0.10 g,0.50 g,222 kJ / 52 kcal,"innocent Deutschland GmbH, Oskar-von-Miller-Ring 20, D-80333 München, Deutschland",,"+ 0,25 €","Apfelsaft (55%), Bananenpüree, Erdbeerpüree (8,8%), Ananassaft (7,5%), weißer Karottensaft, Maracujapüree, Orangensaft, Rote-Beete-Saft und Süßkartoffel-Extrakt.",250 Milliliter,täglich,Schnelle Küche,Frische Säfte & Smoothies,oda,,,,,,,,,,,,,,,,,,
27,Innocent Smoothie Plus Antioxidant,"2,29€","Mischung aus püriertem Obst und Gemüse, Fruchtsaft (Direktsaft), Leinsamen und Spirulina- & Pflanzenextrakten, angereichert mit Vitaminen.
Enthält von Natur aus Zucker. , innocent Deutschland GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/42803-innocent-innocent-smoothie-plus-antioxidant-einweg/,https://bilder.kolonial.no/local_products/59a28655-1389-48e6-aa36-478f6775b819.jpg?auto=format&fit=max&w=1000&s=0046828a8614ab5137dd16806dc3f0c4,0.01 g,0.50 g,1.10 g,11 g,13 g,0.10 g,0.50 g,230 kJ / 54 kcal,"innocent Deutschland GmbH, Oskar-von-Miller-Ring 20, D-80333 München, Deutschland",,"+ 0,25 €","Apfelsaft (62%), weißer Traubensaft (11%), Bananenpüree (10%), Mangopüree (7,3%), Kiwipüree (6,7%), Gurkenpüree (1,5%), zerriebene Leinsamen (0,6%), Spirulina-Extrakt (0,43%), Limettensaft (0,14%), Saflor-Extrakt (0,11%), Matcha-Grüntee-Extrakt (0,05%) und Vitamine (Vitamin B1, B2, B6, C, E, Niacin).",250 Milliliter,täglich,Schnelle Küche,Frische Säfte & Smoothies,oda,,,,,,,,,,,,,,,,,,
28,BIO COMPANY Bio Kokoswasser aus Kokosnusswasserkonzentrat,"3,59€","Erfrischender Durstlöscher mit mildem, leicht süßlichem Geschmack, am besten gekühlt genießen - natürlich und erfrischend. Aus Kokosnusswasserkonzentrat. , BIO COMPANY SE hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/52642-bio-company-bio-company-bio-kokoswasser-aus-kokosn/,https://bilder.kolonial.no/local_products/a62e50e1-63cc-480c-a4bb-4154bc10677d.jpg?auto=format&fit=max&w=1000&s=d7824afd0ce6168b3ffd506d099f67aa,0.26 g,0.70 g,,2.60 g,3.70 g,,0 g,79 kJ / 19 kcal,"BIO COMPANY SE, Rheinstraße 45-46, 12161, Berlin, Deutschland",Deutschland,,100 % Kokoswasser aus Kokosnusswasserkonzentrat*,1 Liter,täglich,Schnelle Küche,Frische Säfte & Smoothies,oda,,,Bio-Produkt,,,,,,,,,,,,,,,
