,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salz,Protein,Zucker,Kohlenhydrate,davon gesättigte Fettsäuren,Fett,Brennwert,Lieferant,Ursprungsland,Zutaten/Inhaltsstoffe,Inhalt,Mögliche Lieferzeiten,Frischegarantie (mindestens),PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Eigenschaften,Ursprungsregion,Ballaststoffe,Lagerung,Kann Spuren enthalten von ,Abtropfgewicht,Variables Gewicht,Beschreibung,Inverkehrbringer,Hinweis,mehrfach ungesättigte Fettsäuren,Einfach ungesättigte Fettsäuren,Besonderheiten,Gewichtsklasse,Güteklasse,Größe,Handelsklasse,Size,Delivery days,Freshness guarantee,ProduktinformationenThe supplier has not provided us with detailed information about this product.Alle Produkte von Alpro anzeigen,Natrium,Pfand
0,Mozzarella,"2,09€","Mozzarella aus Kuhmilch, heller und elastischer Teig, mild und milchfrisch im Geschmack. , Heiderbeck GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/30580-oda-kasetheke-mozzarella/,https://bilder.kolonial.no/local_products/94e78552-d6bf-45c5-b2af-ac3d3f8072e4.jpg?auto=format&fit=max&w=1000&s=9fdff1963d80a42a0e014668c546c2af,0.50 g,18 g,0.30 g,0.40 g,10.60 g,15.50 g,886 kJ / 213 kcal,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Deutschland",Italien,"KUHMILCH, Salz, Labaustauschstoff, Milchsäurebakterien. ",125 Gramm,täglich,5 Tage,"Käse, Eier & Milchprodukte",Käsetheke,oda,,,,,,,,,,,,,,,,,,,,,,,
1,bio-verde Bio Gorgonzola DOP,"3,89€","Weichkäse aus Kuhmilch, mindestens 60 Tage gereift , Heiderbeck GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58715-bio-verde-bio-verde-bio-gorgonzola-dop/,https://bilder.kolonial.no/local_products/e5ae651c-6732-48a8-b4b4-badbc959b94f.jpg?auto=format&fit=max&w=1000&s=9e02d9826108c28f2726abb9173d2db3,1.60 g,18 g,0 g,0 g,19 g,27 g,1305 kJ / 315 kcal,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Deutschland",,"KUHMILCH*, Meersalz, tierisches Lab.
* aus kontrolliert ökologischem Anbau ",125 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käsetheke,oda,Bio-Produkt,Italien,,,,,,,,,,,,,,,,,,,,,
2,Willicroft Greek White,"3,55€","Pflanzliche Alternative zu Käse in Salzlake, porzellanfarbener Teig mit Bruchlochung, aromatisch würziger Geschmack und geschmeidig cremige Textur. , Heiderbeck GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58730-willcroft-willicroft-greek-white/,https://bilder.kolonial.no/local_products/7b5457d3-556a-4eec-9379-5ceaf72cd690.jpg?auto=format&fit=max&w=1000&s=272526f08fca0b4c573ddb46589b0314,1.90 g,3.70 g,0.50 g,12.40 g,23.20 g,25.90 g,1258 kJ / 304 kcal,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Deutschland",,"Wasser, 25% Kokosnussöl, 13% Weiße Bohnen, Kartoffelstärke, Kartoffelprotein, Apfelessig, Meersalz, natürliches Aroma, Antioxidationsmittel (Ascorbinsäure), Trockenhefe, Knoblauchpulver.",150 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käsetheke,oda,,Niederlande,3.40 g,KühlproduktMuss zwischen 0-4 °C gelagert werden.,,,,,,,,,,,,,,,,,,,
3,Bio Willicroft Italian Aged,"3,95€","Pflanzliches Bio Pasta Topping auf Cashewbasis, elfenbeinfarbener Teig ohne Lochung, aromatisch-würzig im Geschmack, mit krümeliger Textur. , Heiderbeck GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58731-willicroft-bio-willicroft-italian-aged/,https://bilder.kolonial.no/local_products/8be4b121-4244-412c-9818-295758f6fb00.jpg?auto=format&fit=max&w=1000&s=646665b0fe7204ceb595636a2bf56843,2.30 g,20.20 g,6.80 g,29.80 g,6.80 g,40 g,2215 kJ / 529 kcal,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Deutschland",,"77,2% CASHEWKERNE*, Maisstärke*, 4,8% Trockenhefe*, Salz*, Knoblauchpulver*, natürlicher Hefeextrakt*. *Aus kontrolliert ökologischem Anbau. 
Kann Spuren von GLUTEN und SOJA enthalten. ",75 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käsetheke,oda,Bio-Produkt,Niederlande,15.30 g,,"Gluten, Sojabohnen.",,,,,,,,,,,,,,,,,,
4,Bio Mozzarisella Classic,"2,79€","Pflanzliche Alternative zu Mozzarella, hell elfenbeinfarben ohne Lochung, aromatisch und elastisch, Italien. , Heiderbeck GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58732-oda-kasetheke-bio-mozzarisella-classic-alternative/,https://bilder.kolonial.no/local_products/ac3b88c6-8100-41c2-9a3f-716bf3d272cb.jpg?auto=format&fit=max&w=1000&s=814b9b3c4eec4899735b2244ed0dd5b0,1.50 g,0.70 g,0.30 g,8.50 g,14 g,16 g,766 kJ / 185 kcal,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Deutschland",,"44% Reiszubereitung [Wasser, 20,8% gekeimter Vollkornreis*, Speisesalz, Apfelessig*], Wasser, Kokosöl*, Sonnenblumenöl mit Oregano [Sonnenblumenöl*, Oregano*], Zitronensaft*, Apfelessig*, Salz, Verdickungsmittel (Agar-Agar, Gummi arabicum*, Xanthan, Johannisbrotkernmehl*).
* aus kontrolliert ökologischem Anbau",125 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käsetheke,oda,Bio-Produkt,Italien,2.20 g,KühlproduktMuss zwischen 2-7 °C gelagert werden.,,,,,,,,,,,,,,,,,,,
5,new roots Bio La Cotta Nature,"5,09€","Pflanzliche Alternative zu Ricotta, porzellanfarbener Teig, feinsäuerlicher Geschmack bei cremiger Textur, Kanton Bern. , Heiderbeck GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58733-oda-kasetheke-new-roots-bio-la-cotta-nature-pflanz/,https://bilder.kolonial.no/local_products/a382e783-91de-4c5e-897a-437c21dbb997.jpg?auto=format&fit=max&w=1000&s=7c4485859527e944ef6a8087aa7b78bf,0.80 g,11 g,1 g,8.70 g,4.60 g,25.40 g,1327 kJ / 320 kcal,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Deutschland",,"52% CASHEWKERNE*, Wasser, Steinsalz, vegane Fermentationskulturen.
* aus kontrolliert ökologischem Anbau ",120 Gramm,täglich,6 Tage,"Käse, Eier & Milchprodukte",Käsetheke,oda,Bio-Produkt,Schweiz,,KühlproduktMuss zwischen 0-4 °C gelagert werden.,,,,,,,,,,,,,,,,,,,
6,new roots Bio Soft White,"6,69€","Pflanzliche Alternative zu Weichkäse mit weißem Edelschimmel aus fermentierten Cashewkernen, 3 Wochen gereift, porzellanfarbener Teig ohne Lochung, mild-aromatisch bei cremiger Textur, Kanton Bern. , Heiderbeck GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58736-oda-kasetheke-new-roots-bio-soft-white/,https://bilder.kolonial.no/local_products/36824cdf-3785-4ab4-b32a-dfa384fbc07b.jpg?auto=format&fit=max&w=1000&s=bee35b5e052a9f36623a015efee0ecbe,1.20 g,13.40 g,1 g,10.60 g,5.50 g,30.80 g,1608 kJ / 388 kcal,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Deutschland",,"63% CASHEWKERNE*, Wasser, Steinsalz, vegane Fermentations- und Edelschimmelkulturen.
* Aus kontrolliert biologischem Anbau ",120 Gramm,täglich,6 Tage,"Käse, Eier & Milchprodukte",Käsetheke,oda,Bio-Produkt,Schweiz,,,,,,,,,,,,,,,,,,,,,
7,Bio Büffel Burrata,"3,29€","Käsezubereitung aus Bio-Büffelmilch und Bio-Kuhsahne saftige, elastische Textur, milchfrisch-sahniger Geschmack mit typischer Moschusnote und köstlich-cremigem Mundgefühl, Kampanien. , Heiderbeck GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58737-oda-kasetheke-bio-buffel-burrata/,https://bilder.kolonial.no/local_products/44352189-50e7-48d2-aef8-68c3cf4eaeeb.jpg?auto=format&fit=max&w=1000&s=89fac354da057ae5cb44025b5c866a73,0.40 g,11 g,0.90 g,0.90 g,17 g,25 g,1127 kJ / 273 kcal,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Deutschland",,"BÜFFELMILCH*, 42% KUH-SAHNEerzeugnis* Ultrahocherhitzt , BÜFFELMOLKE*, Salz, Lab. 
* aus kontrolliert ökologischem Landbau. ",125 Gramm,täglich,5 Tage,"Käse, Eier & Milchprodukte",Käsetheke,oda,Bio-Produkt,Italien,,,,125 Gramm,,,,,,,,,,,,,,,,,
8,Bio PP Wildblume,"6,15€","Schnittkäse aus Bio-Heumilch, ca. 4 Monate gereift essbare Rotschmiererinde, cremiger Teig mit unregelmäßiger erbsengroßer Lochung, würzig im Geschmack, Allgäu/Deutschland. , Heiderbeck GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58738-oda-kasetheke-bio-pp-wildblume/,https://bilder.kolonial.no/local_products/965b7554-8835-4e44-a932-acf3f530d29d.jpg?auto=format&fit=max&w=1000&s=702f8827e2273336b15c9cf8d02d8371,1.40 g,26 g,0.10 g,0.10 g,25 g,35 g,1737 kJ / 419 kcal,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Deutschland",,"HEUMILCH g. t. S.*, Salz, KÄSEREIKULTUREN, Lab, Naturrinde mit Blütenmix (Ringelblumenblütenblätter*, Erdbeerblätter*, Schabzigerklee*, Kornblumenblütenblätter*).
* Aus kontrolliert ökologischer Erzeugung ",180 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käsetheke,oda,Bio-Produkt,Deutschland,,,,,,,,,,,,,,,,,,,,,
9,La Tur,"6,59€","Weichkäse aus der Region Langhe im Piemont, der aus einer Mischung aus Kuh-, Ziegen- und Schafsmilch hergestellt wird. Er verfügt über eine beigefarbene gewellte Rinde und dank der Mischung aus den drei Milchsorten einen sehr cremigen Geschmack, der den Käse zu einer echten Rarität , Fromi GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58739-oda-kasetheke-la-tur-weichkase/,https://bilder.kolonial.no/local_products/8d1b02d3-6e71-4258-bdaa-7c0ad51987d9.jpg?auto=format&fit=max&w=942&s=6d30227d2ef461237813fccfae57901e,1 g,14 g,1.80 g,1.80 g,18 g,25 g,1200 kJ / 290 kcal,Fromi GmbH,Italien,"MILCH 98% (Kuh; Ziegen; Schaf); Salz 1%; Kulturen 0,1%; Labaustauschstoff 0,1% Enthält: LAKTOSE, MILCH ",ca. 230 Gramm,täglich,4 Tage,"Käse, Eier & Milchprodukte",Käsetheke,oda,,,1.50 g,KühlproduktMuss zwischen 2-7 °C gelagert werden.,,,"Dieses Produkt kann in Gewicht und Größe leicht variieren. Der Preis wird dem tatsächlichen Gewicht am Tag der Lieferung angepasst. Wir stellen sicher, dass die Abweichung so gering wie möglich gehalten wird.","Der La Tur is ein in nur 10 Tagen gereifter Weichkäse und wird in der Region Langhe im Piemont in Italien hergestellt. Die Langhe zählt zu den faszinierendsten Landschaften in der Region Piemont. Sie ist berühmt für ihren Wein, ihre wundervolle Natur und vor allem ihre kulinarischen Leckerbissen. Du kannst in mir den butterartigen Reichtum aus der Kuhmilch, den Geschmack der Ziegenmilch und die weiche Nussigkeit der Schafsmilch schmecken. Die drei Milchsorten ergänzen sich gut, und das ist der Grund, dass ich einen relativ komplexen Geschmack für einen jungen, weichen Käse habe.",,,,,,,,,,,,,,,
10,Pecorino Tenero,"6,15€","Hartkäse aus Schafmilch, mind.2 Monate gereift, hellbraune Rinde,elfenbeinfarbener Teig,kompakte leicht bröckelige Textur, mild-aromatisch mit dezenter Schafmilchnote, Sardinien. , Heiderbeck GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58740-oda-kasetheke-pecorino-tenero/,https://bilder.kolonial.no/local_products/54cfe904-a43e-4d6b-bd00-7ecbd886326b.jpg?auto=format&fit=max&w=1000&s=66beeb8d8c20301703383388142bebcc,2 g,23 g,0 g,0 g,25 g,38 g,1800 kJ / 435 kcal,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Deutschland",,"SCHAFMILCH, Salz, Lab, Rinde: Konservierungsstoff E 235, Farbstoffe E 160b (ii), E 172. ",200 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käsetheke,oda,,Italien,,,,,,,,,,,,,,,,,,,,,
11,Tiroler Milch Alta Badia,"4,59€","Hartkäse aus Kuhmilch, mind. 6 Monate gereift, Naturrinde, gelber, kompakter Teig, vollmundig-würzig, blumig-fruchtige Nuancen, gepaart mit zartem Schmelz-ein erstklassiger Käse aus Südtirol. , Heiderbeck GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58741-oda-kasetheke-tiroler-milch-alta-badia/,https://bilder.kolonial.no/local_products/56eb200b-ecfb-47ee-85b9-58f309866eb1.jpg?auto=format&fit=max&w=769&s=606aeb30341ebbbadc9f29fa3edbf77d,1.80 g,26 g,0 g,0 g,23 g,32 g,1626 kJ / 392 kcal,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Deutschland",,"KUHMILCH, Milchsäurebakterien, Salz, Labaustauschstoff, Rinde: Konservierungsstoff: Natamycin, Farbstoff: E 150d. ",150 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käsetheke,oda,,Italien,,,,,,,,,,,,,,,,,,,,,
12,Tiroler Milch Schweizer Trüffeli,"5,89€","Käsezubereitung aus Schnittkäse aus Kuhmilch, mind. 10 Wochen gereift, hellgelber, cremig-schmelzender Teig ohne Lochung, mit echten Trüffeln verfeinert, mild-aromatisch mit Trüffelgeschmack,St.Gallen , Heiderbeck GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58742-oda-kasetheke-tiroler-milch-schweizer-truffeli/,https://bilder.kolonial.no/local_products/6ae58b00-4b0f-42a0-8ee7-7063c3e4eb8a.jpg?auto=format&fit=max&w=619&s=5ba0b10948c5861a3a502fb87acb5b01,1.50 g,23 g,0.10 g,0.50 g,24.50 g,37.30 g,1796 kJ / 430 kcal,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Deutschland",,"KUHMILCH, 2% Trüffelzubereitung (Sommertrüffel, Wasser, Aroma), Salz, Lab, Kulturen. ",150 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käsetheke,oda,,Schweiz,,,,,,,,,,,,,,,,,,,,,
13,Camembert Heumilch,"8,35€","Charme trifft auf Würze: Typisch der Duft nach Pilzen, Moos und Erdnüssen, verführerisch cremig das Mundgefühl. Die Pilzaromen finden sich am Gaumen wieder, begleitet von einem animierenden, lebendigen Aromenmix aus Weißbrot, Sauerrahm und Jungholz.

Laktosegehalt: unter 0,1 g/100 g , Käserebellen GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58745-oda-kasetheke-camembert-heumilch/,https://bilder.kolonial.no/local_products/e9b9d64b-0b4b-460e-963e-3d1ac2c7e19a.jpg?auto=format&fit=max&w=1000&s=dd47d8e575f82b52ecabc899e76bce90,1.50 g,20 g,0.50 g,0.50 g,18 g,27 g,1331 kJ / 321 kcal,Käserebellen GmbH,,"HEUMICLH g. t. S., Salz, Kulturen, Labaustauschstoff, Edelschimmel. ",250 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käsetheke,oda,,Österreich,,,,,,,,,,,,,,,,,,,,,
14,Fackelmann Käsehobel 24 cm,"3,49€",Käsehobel OVALGRIFF 24cm INOX hängb,https://oda.com//de/products/58651-fackelmann-fackelmann-kasehobel-24-cm/,https://bilder.kolonial.no/local_products/45a4b5aa-f5b9-49ca-88cd-9c7bfd687e50.jpg?auto=format&fit=max&w=1000&s=c45a48d7fe553edb5d081f3143501bbe,,,,,,,,"Fackelmann, Sebastian-Fackelmann-Straße 6, 91217 Hersbruck",,,1 Stück,täglich,,"Käse, Eier & Milchprodukte",Käsetheke,oda,,China,,,,,,,,,,,,,,,,,,,,,
15,Tradizionali Walnuss,"4,09€","Käsezubereitung aus Kuh- und Schafmilch mit Walnüssen, wenige Tage gereift, hellgelber Teig ohne Lochung, keine Rinde, mild-aromatisch, elastisch-zartschmelzende Textur, Marken / Italien. , Heiderbeck GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58749-oda-kasetheke-tradizionali-walnuss/,https://bilder.kolonial.no/local_products/00beb635-e400-42a8-8bf1-58c4a6fd97bb.jpg?auto=format&fit=max&w=1000&s=065eb8eb91ccd882d00cc73c54be932b,1.08 g,24 g,0.22 g,0.26 g,19.10 g,28 g,1448 kJ / 349 kcal,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Deutschland",,"78% KUHMILCH, 18% SCHAFMILCH, 3% WALNÜSSE, Salz, Lab, Käsereikulturen, Aroma. ",160 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käsetheke,oda,,Italien,,,,,,,,,,,,,,,,,,,,,
16,Tradizionali Olive,"4,15€","Käsezubereitung aus Kuh- und Schafmilch,wenige Tage gereift,hellgelber Teig mit geschmeidiger, elastischer Textur,zarter Schmelz am Gaumen,mild mit fruchtig aromatischer Olivennote, Marken , Heiderbeck GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58750-oda-kasetheke-tradizionali-olive/,https://bilder.kolonial.no/local_products/059eea42-1f34-4aa5-ba04-020e0f74592b.jpg?auto=format&fit=max&w=1000&s=5d0cf16619991e4d235ab37459b1352c,1.08 g,24 g,0.22 g,0.26 g,19.10 g,28 g,1448 kJ / 349 kcal,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Deutschland",,"78% KUHMILCH, 18% SCHAFMILCH, grüne Oliven (3,5%), Salz, Lab, Käsereikulturen. ",160 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käsetheke,oda,,Italien,,,,,,,,,,,,,,,,,,,,,
17,Tradizionali Trüffel,"4,65€","Käsezubereitung aus Kuh- und Schafmilch, wenige Tage gereift,hellgelber Teig mit geschmeidiger, elastischer Textur,zarter Schmelz am Gaumen,mild mit aromatischer Trüffelnote, Marken , Heiderbeck GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58751-oda-kasetheke-tradizionali-truffel/,https://bilder.kolonial.no/local_products/2dff6c4b-f76c-4aec-842a-168fbfdceea7.jpg?auto=format&fit=max&w=1000&s=68f3eb6fbaa84703572ac799beb90ff6,1.08 g,24 g,0.22 g,0.26 g,19.10 g,28 g,1448 kJ / 349 kcal,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Deutschland",,"78% KUHMILCH, 18% SCHAFMILCH, Trüffelzubereitung 2% (Trüffeln Tuber avestivum, Wasser, Salz, Aroma), Salz, Lab, Aroma. ",160 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käsetheke,oda,,Italien,,,,,,,,,,,,,,,,,,,,,
18,Bio Tiroler Milch Kaiseralm 6 Mo.,"5,19€","Hartkäse aus Bio-Heurohmilch, mit tierischem Lab erzeugt, ca. 6 Monate gereift, mild bis kräftig würzig im Geschmack. , Heiderbeck GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58752-oda-kasetheke-bio-tiroler-milch-kaiseralm-6-mo/,https://bilder.kolonial.no/local_products/7d2afc25-80c2-429a-8244-e7ced48348af.jpg?auto=format&fit=max&w=1000&s=23e8b30e4720fbedc2ca5bcf26c0d96c,1.50 g,27.30 g,0.10 g,0.10 g,23.30 g,35.40 g,1775 kJ / 428 kcal,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Deutschland",,"HEUMILCH g. t. S.¹, Kulturen¹, Steinsalz, Lab¹. Mit Steinsalz geschmierte Rinde. ¹aus biologischer Landwirtschaft. ",150 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käsetheke,oda,Bio-Produkt,Österreich,,,,,,,,,,,,,,,,,,,,,
19,Feigen- und Mandelrolle,"2,69€","Exquisite Fruchtrolle in der Genussvariation Feige-Mandel aus Spanien, eine Delikatesse, die in ihrer einzigartigen Kombination die ideale Ergänzung für jede Käseplatte ist, Valencia. , Heiderbeck GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58753-oda-kasetheke-feigen-und-mandelrolle/,https://bilder.kolonial.no/local_products/42901614-b7db-4544-b7d9-9b05ab766c91.jpg?auto=format&fit=max&w=1000&s=c2c09e8d0cc0abc828d75deef676670f,0.20 g,5.90 g,45.60 g,49.40 g,0.60 g,6.60 g,1260 kJ / 302 kcal,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Deutschland",Spanien,"Feigen 85%, MANDELN 15%. Kann kleine Stückchen Mandelschale enthalten. ",180 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käsetheke,oda,,,,,,,,,,,,,,,,,,,,,,,
20,Tiroler Milch Berg Purist 150 g,"4,49€","Schnitt- bzw. Hartkäse aus bester Schweizer Kuhmilch, hellbraune Rinde mit edler Rotkultur gepflegt, 3 Monate ausgereift, je nach Reifestufe rahmig-cremiger, mürber oder fein-kristalliner Teig, mit zartem Schmelz, von delikat-milchfrischem über kräftig-samtigem bis aromatisch-würzigem Geschmack. Mind. 56 % Fett i. Tr., St. Gallen , Heiderbeck GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58754-oda-kasetheke-tiroler-milch-berg-purist-150-g/,https://bilder.kolonial.no/local_products/e7401347-7b6d-498a-8645-219d713181f7.jpg?auto=format&fit=max&w=755&s=bd40e5272f1520ee0963c1c8ef9c1fdc,1.61 g,24.10 g,0.10 g,0.50 g,24.40 g,35.90 g,1764 kJ / 422 kcal,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Deutschland",,"KUHMILCH, Kulturen, Salz, Lab. ",150 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käsetheke,oda,,Schweiz,,,,,,,,,,,,,,,,,,,,,
21,Eins (A) Birnensenfsauce,"3,09€","Exquisit fruchtige Birnensenfsauce mit fein ausbalancierter Schärfe, fruchtig-pikanter Käsebegleiter, Venetien. , Heiderbeck GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58755-oda-kasetheke-eins-a-birnensenfsauce/,https://bilder.kolonial.no/local_products/d8a3b3e8-640c-4f0e-aca6-7e932cb1c7b5.jpg?auto=format&fit=max&w=851&s=f4dbcfe230852aaae62c6dcada52cef0,0.20 g,0.50 g,59 g,68 g,0.10 g,0.50 g,1176 kJ / 277 kcal,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Deutschland",,"Glukose-Fruktose Sirup, Birnenzubereitung (Birnen, Glukose-Fruktose-Sirup, Zucker, Säureregulator Citronensäure, Konservierungsstoff SCHWEFELDIOXID), Birnenpüree, Aroma, natürliches SENFaroma, Antioxidationsmittel Ascorbinsäure. ",120 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käsetheke,oda,,Italien,,,,,,,,,,,,,,,,,,,,,
22,Eins (A) Feigensenfsauce,"2,99€","Exquisit fruchtige Feigensenfsauce mit fein ausbalancierter Schärfe, fruchtig pikanter Käsebegleiter, Venetien. , Heiderbeck GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58756-oda-kasetheke-eins-a-feigensenfsauce/,https://bilder.kolonial.no/local_products/4c1fc918-c652-45e5-a308-570de152adcb.jpg?auto=format&fit=max&w=795&s=a1222eaefa9ce18d794b9a09172235a8,0.01 g,0.50 g,53 g,70 g,0.40 g,0.50 g,1193 kJ / 281 kcal,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Deutschland",,"Feigenzubereitung (Feigen, Glukose-Fruktose-Sirup, Zucker, Säureregulator Citronensäure, Konservierungsstoff: SCHWEFELDIOXID), Glukose-Fruktose-Sirup, Wasser, natürliches SENFaroma, Aroma, Antioxidationsmittel Ascorbinsäure. ",120 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käsetheke,oda,,Italien,,,,,,,,,,,,,,,,,,,,,
23,Bauern Rebell,"7,55€","Bauernrebell 280g , Heiderbeck GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58759-oda-kasetheke-bauern-rebell/,https://bilder.kolonial.no/local_products/0a4679ae-4fca-45b5-b8bd-f774c3ed99e4.jpg?auto=format&fit=max&w=1000&s=62f21dad74e5647479b103931cd552a3,1.60 g,18 g,1.30 g,1.30 g,16.10 g,24 g,1216 kJ / 293 kcal,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Deutschland",,"KUHMILCH, Salz, Käsereikulturen, Labaustauschstoff, Edelschimmel, Rinde: Farbstoff Annatto-Norbixin. ",280 Gramm,täglich,6 Tage,"Käse, Eier & Milchprodukte",Käsetheke,oda,,Deutschland,,,,,,,,,,,,,,,,,,,,,
24,Eins (A) rote Feigensenfsauce,"2,99€","Exquisit fruchtige Feigensenfsauce aus roten Feigen mit fein ausbalancierter Schärfe, fruchtig pikanter Käsebegleiter, Venetien. , Heiderbeck GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58762-oda-kasetheke-eins-a-rote-feigensenfsauce/,https://bilder.kolonial.no/local_products/2a10657b-11fa-426d-bcca-ce74f95fae50.jpg?auto=format&fit=max&w=852&s=d4c88adf0d28ca047681cf56848657f0,0.10 g,0.50 g,61 g,68 g,0.10 g,0.50 g,1175 kJ / 277 kcal,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Deutschland",,"rote Feigenzubereitung (rote Feigen, Glukose-Fruktose-Sirup, Zucker, Säureregulator Citronensäure), Glukose-Fruktose-Sirup, Wasser, färbendes Lebensmittel Holundersaftkonzentrat, Aroma, natürliches SENFaroma, Aroma. ",120 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käsetheke,oda,,Italien,,,,,,,,,,,,,,,,,,,,,
25,Queso de Cabra Don Juan,"5,75€","Schnittkäse aus Ziegenmilch in roter Rinde, ca. 2 Monate gereift, elfenbeinfarbiger elastischer Teig, zartschmelzende Textur, mild-aromatischer Geschmack, Aragonien/Spanien. , Heiderbeck GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58767-oda-kasetheke-queso-de-cabra-don-juan/,https://bilder.kolonial.no/local_products/df59566f-3f12-4350-a675-e13a0a27f221.jpg?auto=format&fit=max&w=1000&s=c8925bcad5ec50d04a250eb61494b229,2 g,26 g,0.50 g,1 g,27 g,38 g,1860 kJ / 449 kcal,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Deutschland",,"ZIEGENMILCH, Salz, Lab, Käsekulturen, Konservierungsstoff E 252 Kaliumnitrat, Rinde: Konservierungsstoff E 235 Natamycin, Farbstoff E 160b (ii) Annatto-Norbixin. Kann Spuren von Ei enthalten. ",200 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käsetheke,oda,,Spanien,,,Eier.,,,,,,,,,,,,,,,,,,
