,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salz,Protein,Zucker,Kohlenhydrate,davon gesättigte Fettsäuren,Fett,Brennwert,Lieferant,Ursprungsland,Zutaten/Inhaltsstoffe,Inhalt,Mögliche Lieferzeiten,Frischegarantie (mindestens),PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Eigenschaften,Ursprungsregion,Ballaststoffe,Lagerung,Kann Spuren enthalten von ,Abtropfgewicht,Variables Gewicht,Beschreibung,Inverkehrbringer,Hinweis,mehrfach ungesättigte Fettsäuren,Einfach ungesättigte Fettsäuren,Besonderheiten,Gewichtsklasse,Güteklasse,Größe,Handelsklasse,Size,Delivery days,Freshness guarantee,ProduktinformationenThe supplier has not provided us with detailed information about this product.Alle Produkte von Alpro anzeigen,Natrium,Pfand
1117,"Jeden Tag frische Milch 1,5% fettarm","1,05€","Die Frischmilch wird nach einem speziellen Verfahren kurzzeitig hocherhitzt, wodurch sie länger haltbar bleibt. , Hochwald Foods GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/46667-jeden-tag-jeden-tag-frische-milch-15-fettarm/,https://bilder.kolonial.no/local_products/e319dc5b-07ce-49d5-9553-2a5ddd5a3629.jpg?auto=format&fit=max&w=408&s=a449e726c43a5aed4b7b8e6ee7720267,0.13 g,3.40 g,4.90 g,4.90 g,1.50 g,1.50 g,197 kJ / 47 kcal,"Hochwald Foods GmbH, Bahnhofstraße 37-43, 54424 Thalfang, Deutschland",,MILCH. ,1 Liter,täglich,4 Tage,"Käse, Eier & Milchprodukte",Milch & Milchalternativen,oda,,,,,,,,,,,,,,,,,,,,,,,
1118,Alpro Barista Soja,"2,49€","-	BARISTA-GEMACHTER GENUSS Das Verpackungsdesign und all der Genuss des Geschmacks wurden extra für Baristas -also für dich kreiert. Für dich - ein Produkt, das so EINFACH ZUM Aufschäumen ist, sich hervorragen mit jeglichen Kaffeesorten und Röstungen kombinieren lässt. UND VOR ALLEM mit feinem, cremigen Schaum optimal für Cappuccino, Milchkaffe oder Latte

lactose < 0,1 g/100g

Zuckerarm - Reich an pflanzlichem Protein - 
Calciumquelle. , Danone GmbH - Germany hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/20455-alpro-alpro-barista-soja/,https://bilder.kolonial.no/local_products/f05707ba-cfb7-47e6-8fbd-6419b4c2de7a.jpg?auto=format&fit=max&w=349&s=04fd9af5ec8ade1d39809669b2f1d6db,0.10 g,3.30 g,2.50 g,2.70 g,0.30 g,1.90 g,177 kJ / 42 kcal,"Danone GmbH - Germany, Richard-Reitzner-Allee 1, 85540 Haar, Deutschland",,"SOJABASIS (Wasser, geschälte SOJABOHNEN (8,7%)), Apfelextrakt, Säureregulatoren (Kaliumphosphate), Calciumcarbonat, Meersalz, Stabilisator (Gellan), Vitamine (B2, B12, D2) ",1 Liter,täglich,,"Käse, Eier & Milchprodukte",Milch & Milchalternativen,oda,,Belgien,0.60 g,,,,,,,,,,,,,,,,,,,,
1119,Ehrmann High Protein Drink Chocolate,"1,65€","Viel Protein, viel Power, viel Genuss! High Protein Drink to go mit 20 Gramm Protein pro Flasche, ohne Zuckerzusatz, fettarm und laktosefrei.

Fettarm , Ehrmann GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/28029-ehrmann-ehrmann-high-protein-drink-chocolate/,https://bilder.kolonial.no/local_products/2c56e2b4-1240-4e74-aa81-616473e49c76.jpg?auto=format&fit=max&w=393&s=2f031903be782ad55b85d8f191df1b8c,0.11 g,8 g,4.80 g,4.80 g,0.10 g,0.10 g,221 kJ / 52 kcal,"Ehrmann GmbH, A.-Ehrmann-Straße 2, 87770 Oberschönegg, Deutschland",,"entrahmte MILCH 94%, MILCHEIWEISSERZEUGNIS 5%, Kakaopulver 1%, Laktase, Verdickungsmittel
(Carrageen), Süßungsmittel (E 950, Sucralose), natürliches Aroma, Salz.
Enthält von Natur aus Zucker. ",250 Milliliter,täglich,,"Käse, Eier & Milchprodukte",Milch & Milchalternativen,oda,,Deutschland,,,,,,,,,,,,,,,,,,,,,
1120,"Arla Bio Weidemilch haltbar 3,8% Fett","1,99€","Lecker und ganz natürlich - genau so schmeckt die Weidemilch von den Arla Bio-Höfen. Dort stehen die Kühe nicht nur im Stall, sondern verbringen den Großteil des Sommers auf saftigen, grünen Wiesen - mindestens 120 Tage im Jahr. Diese artgerechte Tierhaltung und die traditionelle Fütterung garantieren eine Bio-Weidemilch höchster Qualtität. Und das schmeckt man! , Arla Foods Inc. hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/47363-arla-arla-bio-weidemilch-haltbar-38-fett/,https://bilder.kolonial.no/local_products/d142163e-b7fd-4e4b-b4e5-afddd0bfc529.jpg?auto=format&fit=max&w=765&s=856b0644d789f37dbb70fbdb0bc6a3b6,0.13 g,3.50 g,4.90 g,4.90 g,3.90 g,3.90 g,287 kJ / 69 kcal,"Arla Foods Inc., Wahlerstraße 2, 40472 Düsseldorf, Deutschland",,Bio-MILCH. ,1 Liter,täglich,,"Käse, Eier & Milchprodukte",Milch & Milchalternativen,oda,Bio-Produkt,,,,,,,,,,,,,,,,,,,,,,
1121,Alpro Barista Oat,"2,49€","Alpro® Barista Haferdrink, 1 L, UHT

Vitamin B12 trägt zur Verringerung von Müdigkeit und Ermüdung bei. , Danone Belux nv hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/42356-alpro-alpro-barista-oat/,https://bilder.kolonial.no/local_products/052b0000-145c-4174-9057-bf0f4e9f6380.jpg?auto=format&fit=max&w=433&s=9ac7f2e2003cc84c559a538c738c90f0,0.13 g,0.80 g,3.30 g,6.70 g,0.30 g,3 g,248 kJ / 59 kcal,"Danone Belux nv, Stationsstraat 170/N229, 3110 Rotselaar, Belgien",,"HAFERbasis (Wasser, HAFER (10%)), Sonnenblumenöl, Zichorienwurzelfasern, Erbsenprotein, Säureregulator (Kaliumphosphate), Meersalz, Vitamine (B2, B12, D2). Von Natur aus kuhmilcheiweißfrei. Von Natur aus laktosefrei. ",1 Liter,täglich,,"Käse, Eier & Milchprodukte",Milch & Milchalternativen,oda,,Belgien,1 g,,,,,,,,,,,,,,,,,,,,
1122,Müller reine Buttermilch,"0,99€","MÜLLER REINE BUTTERMILCH 500G FLASCHE , Molkerei Alois Müller GmbH & Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/45432-muller-muller-reine-buttermilch/,https://bilder.kolonial.no/local_products/7200f1ed-00ee-4892-ac2e-a75b4d135a51.jpg?auto=format&fit=max&w=406&s=f8bef5bf6c65d6ee5413ec0a902c1d15,0.12 g,3.40 g,4.20 g,4.20 g,0.60 g,0.60 g,162 kJ / 39 kcal,"Molkerei Alois Müller GmbH & Co. KG, Zollerstraße 7, 86850 Fischach-Aretsried, Deutschland",,BUTTERMILCH. ,500 Gramm,täglich,5 Tage,"Käse, Eier & Milchprodukte",Milch & Milchalternativen,oda,,Deutschland,,KühlproduktMuss zwischen 0-4 °C gelagert werden.,,,,,,,,,,,,,,,,,,,
1123,"Ammerländer unsere Bio H-Milch 1,5%","1,95€","H-Milch 1,5% Bioland 1l Ammerländer , Molkerei Ammerland eG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/51752-ammerlander-ammerlander-unsere-bio-h-milch-15/,https://bilder.kolonial.no/local_products/402f84df-cf83-41aa-8b51-0d550fe6c08e.jpg?auto=format&fit=max&w=377&s=83042d7ab52321abb62f606ac2f6d236,0.09 g,3.30 g,4.80 g,4.80 g,1 g,1.50 g,193 kJ / 46 kcal,"Molkerei Ammerland eG, Oldenburger Landstraße 1a, D-26215 Wiefelstede-Dringenburg, Deutschland",,Milch und Milcherzeugnisse (einschließlich Lactose).,1 Liter,täglich,,"Käse, Eier & Milchprodukte",Milch & Milchalternativen,oda,Bio-Produkt,Deutschland,,,,,,,,,,,,,,,,,,,,,
1124,"Bärenmarke Frischer Kakao 1,8% Fett","2,19€","Bärenmarke Frischer Kakao 1L , Bärenmarke Vertriebsgesellschaft mbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/45966-barenmarke-barenmarke-frischer-kakao-18-fett/,https://bilder.kolonial.no/local_products/8cbed8ca-7383-41d2-82ae-af9f2db33132.jpg?auto=format&fit=max&w=309&s=63d2ed00b80c369ca18ba0079bdc301a,0.13 g,3.60 g,9.70 g,9.80 g,1.30 g,2 g,304 kJ / 72 kcal,"Bärenmarke Vertriebsgesellschaft mbH, 54424 Thalfang, Deutschland",,"Fettarme MILCH, Schokoladenpulver (Zucker, Kakaopulver 1,1%), Zucker, Verdickungsmittel Carrageen, natürliches Aroma. ",1 Liter,täglich,4 Tage,"Käse, Eier & Milchprodukte",Milch & Milchalternativen,oda,,Deutschland,,,,,,,,,,,,,,,,,,,,,
1125,Alpro Barista Coconut,"2,99€","Alpro® Barista Kokosnussdrink, 1 L, UHT

Sojaprodukte passen in eine ausgewogene und abwechslungsreiche Ernährung. , Danone Belux nv hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/46099-alpro-alpro-barista-coconut/,https://bilder.kolonial.no/local_products/f959ecc4-4ca5-43d2-80c8-4ce483382609.jpg?auto=format&fit=max&w=175&s=63b7fdd676f06564cda86620ba6683af,0.10 g,1.50 g,3.30 g,3.30 g,0.70 g,1.40 g,139 kJ / 33 kcal,"Danone Belux nv, Stationsstraat 170/N229, 3110 Rotselaar, Belgien",,"Wasser, Kokosmilch (3,5%) (Kokoscreme, Wasser), geschälte SOJABOHNEN (2,9%), Zucker, Fruktose, Säureregulatoren (Kaliumphosphate), Calciumcarbonat, Meersalz, Aroma, Stabilisator (Gellan). Kann Spuren von Schalenfrüchten (keine Erdnüsse) enthalten. Von Natur aus gluten- und laktosefrei. ",1 Liter,täglich,,"Käse, Eier & Milchprodukte",Milch & Milchalternativen,oda,,Belgien,0.20 g,,Nüssen.,,,,,,,,,,,,,,,,,,
1126,"Ammerländer unsere Bio H-Milch 3,8%","2,09€","H-Milch 3,8% Bioland 1l Ammerländer , Molkerei Ammerland eG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/51749-ammerlander-ammerlander-unsere-bio-h-milch-38/,https://bilder.kolonial.no/local_products/38cfad21-552b-4e0a-9c62-f54f92119b05.jpg?auto=format&fit=max&w=500&s=988e40b1bc43f6375ecbe8b3e10fd306,0.09 g,3.30 g,4.70 g,4.70 g,2.80 g,3.90 g,280 kJ / 67 kcal,"Molkerei Ammerland eG, Oldenburger Landstraße 1a, D-26215 Wiefelstede-Dringenburg, Deutschland",,Milch und Milcherzeugnisse (einschließlich Lactose).,1 Liter,täglich,,"Käse, Eier & Milchprodukte",Milch & Milchalternativen,oda,Bio-Produkt,Deutschland,,,,,,,,,,,,,,,,,,,,,
