,Title,Subtitle,Link
39,HOT POT,Axed Chelsea boss Graham Potter heads on Maldives break and checks ex-team results,https://www.thesun.co.uk/sport/21958888/axed-chelsea-boss-graham-potter-flies-off-sunshine-break/
40,MAN UTD 1 BRENTFORD 0,Rashford earns first Prem win since FEBRUARY to boost top four bid,https://www.thesun.co.uk/sport/21958165/man-utd-brentford-rashford-premier-league-win/
41,WEST HAM 1 NEWCASTLE 5,Toon romp to biggest away win in 25 YEARS and pile pressure on Irons,https://www.thesun.co.uk/sport/21948779/west-ham-vs-newcastle-live-score-latest-updates-premier-league/
42,WEST END ERLS,Haaland hits West End shops with rarely-seen girlfriend after £20m Nike deal,https://www.thesun.co.uk/sport/21953933/erling-haaland-shopping-girlfriend-nike-deal/
43,EXTRA TIME,I was a feared football hooligan… but now I'm a film producer with Oscar winners,https://www.thesun.co.uk/sport/21953764/football-hooligan-movie-producer-oscar-winner/
44,SMOKED OUT,Feyenoord vs Ajax stopped TWICE as player left with blood pouring from head,https://www.thesun.co.uk/sport/21957128/feyenoords-clash-ajax-smoke-fans/
45,FINAL SCORE,BT Sport scrapping hugely popular show and top presenters could face axe,https://www.thesun.co.uk/sport/21949870/bt-sport-jake-humphrey-sky-sack-cuts/
46,FREE SPINS,Get up to 100 free spins and 100% matched deposit bonus with Duelz Casino,https://www.thesun.co.uk/betting/21848309/matched-deposit-bonus-duelz-casino/
47,RE-AL-ITY STARS,Inside thrilling new E4 show starring Gemma Collins & Vicky Pattison,https://www.thesun.co.uk/tv/21956559/e4-alan-must-win-gemma-collins-vicky-pattison-grimshaw/
48,PAYING THE PRICE,Katie Price arrives at court-ordered community service in Carl Woods' car,https://www.thesun.co.uk/tvandshowbiz/21951568/katie-price-community-service-carl-woods-car/
49,NO DEAL,Dickinson's Real Deal star quits ITV show after whopping 14 years on screens,https://www.thesun.co.uk/tv/21948209/dickinsons-real-deal-star-quits-after-14-years/
50,GET ME OUT OF HERE!,Carol Vorderman breaks silence on I’m A Celebrity South Africa,https://www.thesun.co.uk/tvandshowbiz/21956352/carol-vorderman-im-a-celebrity-south-africa-brutal/
51,GIRL NEXT DOOR,Corrie star unrecognisable - saying she's 'sick of playing sexy b*****s',https://www.thesun.co.uk/tv/21946841/coronation-street-kimberly-hart-simpson/
52,'DISGRACEFUL',Our picturesque seaside village is becoming a ghost town after 3 pubs shut,https://www.thesun.co.uk/news/21957227/seaside-town-ghost-town-pubs-closing-dymchurch-kent/
